codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A305,01/06/2019,00,26.6,26.8,26.4,79,80,78,22.6,22.8,22.5,1009.9,1009.9,1009.2,1.4,104,4.8,-3.51,0.0
A305,01/06/2019,23,26.0,26.8,25.9,79,79,75,22.1,22.1,21.7,1010.0,1010.0,1009.2,0.5,121,4.2,-3.54,0.0
A305,01/06/2019,22,26.7,27.1,26.6,75,75,72,21.8,21.8,21.5,1009.2,1009.2,1009.0,1.7,94,5.5,-3.54,0.0
A305,01/06/2019,21,27.1,28.1,26.9,72,72,66,21.6,21.6,21.2,1009.0,1009.0,1008.4,2.1,91,6.9,70.21,0.0
A305,01/06/2019,20,28.1,29.3,28.1,66,67,61,21.2,21.8,20.8,1008.4,1008.4,1007.9,2.9,103,7.4,688.5,0.0
A305,01/06/2019,19,29.3,30.1,29.2,64,65,57,21.8,22.1,20.5,1007.9,1007.9,1007.8,2.9,107,8.4,1324.,0.0
A305,01/06/2019,18,29.9,30.5,29.6,61,64,59,21.5,22.4,21.1,1007.9,1008.2,1007.9,3.5,107,8.4,1757.,0.0
A305,01/06/2019,17,30.2,30.7,29.7,62,64,56,22.1,22.4,20.7,1008.2,1009.1,1008.2,4.1,103,8.7,1992.,0.0
A305,01/06/2019,16,30.3,31.2,29.9,64,64,59,22.7,23.1,21.3,1009.1,1009.8,1009.1,3.3,106,7.7,1911.,0.0
A305,01/06/2019,15,30.3,31.2,29.7,60,64,58,21.5,22.6,21.4,1009.8,1010.5,1009.8,3.4,119,7.4,1971.,0.0
A305,01/06/2019,14,30.6,30.7,28.7,61,69,61,22.3,23.0,21.9,1010.5,1010.9,1010.5,3.2,109,7.8,1386.,0.0
A305,01/06/2019,13,29.1,29.8,28.5,65,71,65,21.9,23.4,21.9,1010.9,1011.0,1010.8,2.8,151,7.2,1505.,0.0
A305,01/06/2019,12,28.5,28.6,27.1,70,75,70,22.5,22.8,21.8,1010.8,1010.8,1010.6,2.7,159,6.6,1235.,0.0
A305,01/06/2019,11,27.2,27.2,24.6,75,87,73,22.3,22.7,21.7,1010.7,1010.7,1009.8,2.2,173,6.5,1024.,0.0
A305,01/06/2019,10,24.6,24.7,24.5,86,87,86,22.2,22.3,22.0,1009.7,1009.8,1009.0,2.0,188,5.0,84.58,0.0
A305,01/06/2019,09,24.6,24.8,24.6,87,87,86,22.2,22.4,22.2,1009.0,1009.0,1008.5,1.3,191,3.2,6.863,0.0
A305,01/06/2019,08,24.6,25.2,24.5,87,87,83,22.3,22.3,22.0,1008.5,1008.5,1008.1,1.1,163,3.2,-3.34,0.0
A305,01/06/2019,07,25.2,25.5,25.1,83,84,83,22.2,22.5,22.1,1008.1,1008.1,1007.9,0.6,169,2.1,-3.44,0.0
A305,01/06/2019,06,25.3,26.2,25.3,83,83,78,22.2,22.2,21.9,1008.0,1008.4,1008.0,0.6,170,3.0,-2.82,0.0
A305,01/06/2019,05,26.1,26.4,25.9,78,79,76,22.0,22.0,21.7,1008.3,1008.8,1008.3,1.1,126,4.0,-3.52,0.0
A305,01/06/2019,04,26.4,26.6,26.3,76,77,75,21.7,22.2,21.7,1008.8,1009.5,1008.8,1.8,106,4.3,-3.52,0.0
