,hora,pto_orvalho_inst,pressao,radiacao,precipitacao,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind,vento_vel
0,0,22.6,1009.9,-3.51,0.0,0.4000000000000021,2,0.3000000000000007,0.6999999999999318,3.4,104
1,23,22.1,1010.0,-3.54,0.0,0.9000000000000021,4,0.4000000000000021,0.7999999999999545,3.7,121
2,22,21.8,1009.2,-3.54,0.0,0.5,3,0.3000000000000007,0.20000000000004547,3.8,94
3,21,21.6,1009.0,70.21,0.0,1.2000000000000028,6,0.4000000000000021,0.6000000000000227,4.800000000000002,91
4,20,21.2,1008.4,688.5,0.0,1.1999999999999993,6,1.0,0.5,4.5,103
5,19,21.8,1007.9,1324.0,0.0,0.9000000000000021,8,1.6000000000000014,0.10000000000002274,5.5,107
6,18,21.5,1007.9,1757.0,0.0,0.8999999999999986,5,1.2999999999999972,0.3000000000000682,4.9,107
7,17,22.1,1008.2,1992.0,0.0,1.0,8,1.6999999999999993,0.8999999999999773,4.6,103
8,16,22.7,1009.1,1911.0,0.0,1.3000000000000007,5,1.8000000000000007,0.6999999999999318,4.4,106
9,15,21.5,1009.8,1971.0,0.0,1.5,6,1.2000000000000028,0.7000000000000455,4.0,119
10,14,22.3,1010.5,1386.0,0.0,2.0,8,1.1000000000000014,0.3999999999999773,4.6,109
11,13,21.9,1010.9,1505.0,0.0,1.3000000000000007,6,1.5,0.20000000000004547,4.4,151
12,12,22.5,1010.8,1235.0,0.0,1.5,5,1.0,0.1999999999999318,3.9,159
13,11,22.3,1010.7,1024.0,0.0,2.599999999999998,14,1.0,0.900000000000091,4.3,173
14,10,22.2,1009.7,84.58,0.0,0.1999999999999993,1,0.3000000000000007,0.7999999999999545,3.0,188
15,9,22.2,1009.0,6.863,0.0,0.1999999999999993,1,0.1999999999999993,0.5,1.9,191
16,8,22.3,1008.5,-3.34,0.0,0.6999999999999993,4,0.3000000000000007,0.3999999999999773,2.1,163
17,7,22.2,1008.1,-3.44,0.0,0.3999999999999986,1,0.3999999999999986,0.20000000000004547,1.5,169
18,6,22.2,1008.0,-2.82,0.0,0.8999999999999986,5,0.3000000000000007,0.3999999999999773,2.4,170
19,5,22.0,1008.3,-3.52,0.0,0.5,3,0.3000000000000007,0.5,2.9,126
20,4,21.7,1008.8,-3.52,0.0,0.3000000000000007,2,0.5,0.7000000000000455,2.5,106
21,3,22.2,1009.5,-3.41,0.0,0.6000000000000014,1,0.3000000000000007,0.2999999999999545,3.6,108
22,2,22.3,1009.8,-2.6,0.0,0.6000000000000014,4,0.5,0.20000000000004547,2.7,102
23,1,22.7,1010.0,-3.13,0.0,0.3000000000000007,1,0.2999999999999972,0.10000000000002274,3.8,111
24,0,22.2,1010.5,-3.53,0.0,1.2000000000000028,6,0.5,0.3999999999999773,1.3,190
25,1,22.1,1010.6,-3.36,0.0,0.7999999999999972,3,0.3000000000000007,0.10000000000002274,1.0,161
26,2,22.2,1010.3,-2.81,0.0,0.3000000000000007,2,0.4000000000000021,0.3000000000000682,1.4,185
27,3,22.6,1009.7,-2.35,0.0,0.5,2,0.6000000000000014,0.5999999999999089,0.8,181
28,4,22.6,1009.0,-1.9,0.0,0.3999999999999986,1,0.4000000000000021,0.7000000000000455,1.7,172
29,5,22.6,1008.7,-1.8,0.0,0.3000000000000007,0,0.20000000000000284,0.2999999999999545,1.2999999999999998,189
30,6,22.3,1008.3,-2.0,0.0,0.4000000000000021,0,0.3999999999999986,0.40000000000009095,0.9000000000000001,184
31,7,22.4,1008.1,-1.77,0.0,0.4000000000000021,0,0.5,0.1999999999999318,1.4,164
32,8,22.4,1008.2,-1.32,0.0,0.1999999999999993,0,0.1999999999999993,0.10000000000002274,0.9999999999999998,173
33,9,22.6,1008.4,19.16,0.0,0.3999999999999986,1,0.3000000000000007,0.1999999999999318,1.6999999999999995,164
34,10,23.2,1009.1,246.9,0.0,1.1000000000000014,3,0.5,0.7000000000000455,2.5,177
35,11,23.2,1009.7,976.7,0.0,2.1000000000000014,10,1.0,0.6000000000000227,3.1000000000000005,164
36,12,23.2,1010.5,1214.0,0.0,1.6999999999999993,7,0.9000000000000021,0.7999999999999545,3.9,164
37,13,22.6,1010.4,1676.0,0.0,1.6999999999999993,11,1.6999999999999993,0.20000000000004547,5.2,141
38,14,20.9,1010.0,2032.0,0.0,1.5,8,2.5,0.3999999999999773,4.5,134
39,15,21.4,1009.2,2048.0,0.0,1.8000000000000007,6,1.2000000000000028,0.7999999999999545,4.699999999999998,130
40,16,20.8,1008.7,1692.0,0.0,1.8999999999999984,11,2.6999999999999997,0.6000000000000227,6.199999999999998,118
41,17,19.6,1007.9,2052.0,0.0,0.8000000000000007,5,2.0,0.8000000000000682,5.5,99
42,18,20.1,1007.9,1742.0,0.0,0.8000000000000007,6,1.0,0.10000000000002274,5.300000000000002,109
43,19,21.0,1008.2,1290.0,0.0,0.7000000000000028,5,1.2000000000000028,0.3000000000000682,5.1,101
44,20,21.8,1008.2,680.9,0.0,1.599999999999998,10,1.1999999999999993,0.10000000000002274,3.5000000000000004,95
45,21,22.7,1008.9,70.17,0.0,1.2000000000000028,8,0.8999999999999986,0.6999999999999318,4.4,95
46,22,23.0,1009.5,-3.53,0.0,0.5999999999999979,5,0.5,0.6000000000000227,2.8,101
47,23,23.1,1010.0,-3.53,0.0,0.3999999999999986,2,0.3000000000000007,0.5,2.3,138
48,0,23.1,1010.5,-3.54,0.0,1.0,5,0.3000000000000007,0.5,1.2,178
49,1,23.2,1010.8,-3.15,0.0,0.3000000000000007,2,0.4000000000000021,0.2999999999999545,1.1,213
50,2,23.6,1010.9,-0.69,0.0,0.5,1,0.3000000000000007,0.10000000000002274,0.7999999999999999,207
51,3,23.7,1010.5,-2.57,0.0,0.5,2,0.09999999999999787,0.3999999999999773,1.6,158
52,4,23.4,1010.1,-3.03,0.0,0.4000000000000021,1,0.20000000000000284,0.3999999999999773,2.2,151
53,5,22.6,1009.8,-3.48,0.0,0.8000000000000007,7,1.0,0.3000000000000682,2.9,132
54,6,22.6,1009.8,-3.53,0.0,1.099999999999998,5,0.1999999999999993,0.09999999999990904,3.8,159
55,7,22.4,1009.9,-3.47,0.0,0.8999999999999986,3,0.3999999999999986,0.10000000000002274,1.6,173
56,8,22.3,1010.4,-3.48,0.0,0.2999999999999972,2,0.3000000000000007,0.5,1.5000000000000002,178
