,hora,vento_vel
0,0,104
1,23,121
2,22,94
3,21,91
4,20,103
5,19,107
6,18,107
7,17,103
8,16,106
9,15,119
10,14,109
11,13,151
12,12,159
13,11,173
14,10,188
15,9,191
16,8,163
17,7,169
18,6,170
19,5,126
20,4,106
21,3,108
22,2,102
23,1,111
24,0,190
25,1,161
26,2,185
27,3,181
28,4,172
29,5,189
30,6,184
31,7,164
32,8,173
33,9,164
34,10,177
35,11,164
36,12,164
37,13,141
38,14,134
39,15,130
40,16,118
41,17,99
42,18,109
43,19,101
44,20,95
45,21,95
46,22,101
47,23,138
48,0,178
49,1,213
50,2,207
51,3,158
52,4,151
53,5,132
54,6,159
55,7,173
56,8,178
57,9,182
58,10,165
59,11,154
60,12,163
61,13,155
62,14,133
63,15,130
64,16,102
65,17,111
66,18,100
67,19,104
68,20,95
69,21,89
70,22,106
71,23,100
72,0,97
73,1,99
74,2,108
75,3,113
76,4,137
77,5,198
78,6,186
79,7,183
80,8,185
81,9,177
82,10,179
83,11,152
84,12,160
85,13,167
86,14,137
87,15,124
88,16,107
89,17,112
90,18,107
91,19,96
92,20,99
93,21,99
94,22,84
95,23,102
96,0,102
97,1,103
98,2,104
99,3,102
100,4,110
101,5,133
102,6,147
103,7,177
104,8,174
105,9,173
106,10,170
107,11,151
108,12,145
109,13,141
110,14,133
111,15,121
112,16,107
113,17,98
114,18,96
115,19,103
116,20,102
117,21,90
118,22,96
119,23,102
120,0,105
121,1,103
122,2,104
123,3,117
124,4,109
125,5,132
126,6,196
127,7,183
128,8,177
129,9,181
130,10,180
131,11,147
132,12,148
133,13,165
134,14,147
135,15,170
136,16,116
137,17,106
138,18,98
139,19,89
140,20,89
141,21,100
142,22,100
143,23,114
144,0,138
145,1,122
146,2,121
147,3,118
148,4,127
149,5,187
150,6,174
151,7,170
152,8,171
153,9,171
154,10,176
155,11,166
156,12,169
157,13,164
158,14,131
159,15,98
160,16,108
161,17,108
162,18,110
163,19,108
164,20,115
165,21,111
166,22,94
167,23,100
168,0,120
169,1,119
170,2,101
171,3,96
172,4,102
173,5,116
174,6,134
175,7,185
176,8,112
177,9,163
178,10,161
179,11,149
180,12,162
181,13,161
182,14,157
183,15,150
184,16,134
185,17,102
186,18,101
187,19,103
188,20,95
189,21,97
190,22,106
191,23,83
192,0,104
193,23,100
194,22,93
195,21,94
196,20,100
197,19,93
198,18,98
199,17,101
200,16,100
201,15,106
202,14,127
203,13,151
204,12,132
205,11,161
206,10,187
207,9,174
208,8,193
209,7,150
210,6,126
211,5,103
212,4,113
213,3,111
214,2,99
215,1,99
216,0,91
217,1,94
218,2,111
219,3,174
220,4,161
221,5,199
222,6,213
223,7,169
224,8,189
225,9,181
226,10,177
227,11,140
228,12,157
229,13,180
230,14,182
231,15,136
232,16,110
233,17,104
234,18,106
235,19,100
236,20,111
237,21,109
238,22,109
239,23,110
240,0,110
241,1,107
242,2,103
243,3,103
244,4,100
245,5,119
246,6,121
247,7,122
248,8,126
249,9,190
250,10,182
251,11,170
252,12,167
253,13,155
254,14,166
255,15,143
256,16,102
257,17,102
258,18,98
259,19,93
260,20,110
261,21,109
262,22,98
263,23,93
264,0,101
265,1,102
266,2,120
267,3,107
268,4,129
269,5,74
270,6,76
271,7,47
272,8,124
273,9,150
274,10,173
275,11,227
276,12,209
277,13,187
278,14,138
279,15,134
280,16,101
281,17,125
282,18,108
283,19,108
284,20,94
285,21,77
286,22,83
287,23,84
288,0,100
289,1,91
290,2,100
291,3,153
292,4,145
293,5,142
294,6,202
295,7,174
296,8,92
297,9,181
298,10,151
299,11,142
300,12,172
301,13,129
302,14,109
303,15,116
304,16,108
305,17,171
306,18,88
307,19,82
308,20,100
309,21,93
310,22,100
311,23,117
312,0,139
313,1,135
314,2,155
315,3,134
316,4,121
317,5,122
318,6,154
319,7,164
320,8,166
321,9,156
322,10,152
323,11,160
324,12,137
325,13,144
326,14,139
327,15,115
328,16,110
329,17,122
330,18,124
331,19,108
332,20,115
333,21,123
334,22,130
335,23,138
336,0,115
337,1,116
338,2,115
339,3,120
340,4,133
341,5,149
342,6,135
343,7,159
344,8,155
345,9,163
346,10,170
347,11,141
348,12,146
349,13,132
350,14,124
351,15,102
352,16,106
353,17,106
354,18,105
355,19,114
356,20,110
357,21,104
358,22,104
359,23,105
360,0,116
361,1,138
362,2,108
363,3,110
364,4,144
365,5,123
366,6,133
367,7,149
368,8,152
369,9,160
370,10,158
371,11,129
372,12,134
373,13,132
374,14,104
375,15,123
376,16,166
377,17,115
378,18,122
379,19,131
380,20,124
381,21,127
382,22,134
383,23,141
384,23,130
385,0,170
386,1,194
387,2,130
388,3,190
389,4,183
390,5,132
391,6,125
392,7,135
393,8,162
394,9,177
395,10,158
396,11,180
397,12,154
398,13,160
399,14,151
400,15,146
401,16,130
402,17,184
403,18,159
404,19,129
405,20,92
406,21,125
407,22,132
408,23,121
409,0,169
410,1,144
411,2,185
412,3,177
413,4,174
414,5,177
415,6,168
416,7,171
417,8,174
418,9,179
419,10,190
420,11,164
421,12,176
422,13,131
423,14,148
424,15,123
425,16,111
426,17,99
427,18,91
428,19,95
429,20,106
430,21,102
431,22,120
432,11,174
433,0,120
434,1,126
435,2,221
436,3,185
437,4,150
438,5,139
439,6,176
440,7,189
441,8,173
442,9,173
443,10,157
444,12,169
445,13,178
446,14,145
447,15,139
448,16,114
449,17,93
450,18,73
451,19,83
452,20,82
453,21,83
454,22,102
455,23,197
456,11,152
457,0,167
458,1,172
459,2,184
460,3,192
461,4,170
462,5,189
463,6,159
464,7,170
465,8,201
466,9,189
467,10,162
468,12,162
469,13,149
470,14,152
471,15,140
472,16,125
473,17,104
474,18,95
475,19,103
476,20,105
477,21,102
478,22,100
479,23,104
480,21,114
481,0,125
482,1,116
483,2,112
484,3,115
485,4,124
486,5,138
487,6,162
488,7,172
489,8,151
490,9,166
491,10,164
492,22,112
493,23,119
494,11,171
495,12,156
496,13,160
497,14,142
498,15,142
499,16,142
500,17,104
501,18,104
502,19,109
503,20,107
504,12,165
505,15,139
506,14,143
507,13,139
508,16,146
509,11,167
510,10,159
511,9,166
512,8,156
513,7,176
514,6,179
515,5,172
516,4,198
517,3,195
518,2,185
519,1,146
520,0,115
521,23,187
522,22,134
523,21,109
524,20,115
525,19,107
526,18,111
527,17,156
528,0,185
529,15,143
530,14,166
531,16,165
532,17,133
533,18,84
534,19,102
535,20,93
536,21,92
537,22,101
538,23,105
539,13,171
540,12,141
541,11,184
542,10,186
543,9,175
544,8,192
545,7,189
546,6,191
547,5,139
548,4,124
549,3,119
550,2,113
551,1,111
552,12,134
553,14,115
554,21,99
555,20,115
556,19,109
557,18,113
558,17,113
559,16,104
560,15,112
561,22,99
562,23,91
563,0,113
564,1,169
565,2,197
566,3,195
567,4,178
568,5,176
569,6,174
570,7,173
571,8,172
572,9,170
573,10,175
574,11,154
575,13,128
576,0,101
577,23,108
578,22,96
579,21,99
580,20,108
581,19,118
582,18,108
583,17,108
584,16,103
585,15,127
586,14,130
587,13,147
588,12,151
589,11,170
590,10,173
591,9,173
592,8,175
593,7,168
594,6,174
595,5,179
596,4,179
597,3,171
598,2,168
599,1,120
600,22,117
601,23,133
602,0,109
603,1,127
604,2,111
605,3,112
606,4,122
607,5,150
608,6,193
609,7,171
610,8,179
611,9,177
612,10,177
613,11,150
614,12,141
615,13,128
616,14,138
617,15,104
618,16,110
619,17,109
620,18,112
621,19,110
622,20,99
623,21,103
624,21,101
625,23,115
626,0,185
627,1,165
628,2,115
629,3,109
630,4,117
631,5,135
632,6,167
633,7,171
634,8,188
635,9,179
636,10,167
637,11,162
638,12,172
639,13,147
640,14,140
641,15,109
642,16,107
643,17,113
644,18,100
645,19,109
646,20,109
647,22,107
648,1,110
649,0,102
650,23,119
651,22,103
652,21,102
653,20,109
654,19,100
655,18,100
656,17,101
657,16,152
658,15,133
659,14,133
660,13,151
661,12,166
662,11,164
663,10,158
664,9,164
665,8,144
666,7,161
667,6,144
668,5,133
669,4,125
670,3,115
671,2,117
672,23,169
673,22,158
674,21,123
675,20,117
676,19,103
677,18,117
678,17,129
679,16,117
680,15,115
681,14,152
682,13,136
683,12,149
684,11,160
685,10,165
686,9,166
687,8,170
688,7,172
689,6,175
690,5,171
691,4,170
692,3,143
693,2,117
694,1,116
695,0,121
696,15,126
697,21,112
698,20,110
699,19,106
700,14,130
701,22,112
702,18,108
703,17,132
704,0,164
705,1,171
706,2,176
707,3,179
708,4,178
709,5,161
710,6,157
711,7,161
712,8,168
713,9,174
714,10,191
715,11,181
716,12,163
717,13,137
718,16,115
719,23,112
720,20,110
721,0,103
722,1,103
723,12,149
724,13,121
725,14,125
726,15,126
727,16,129
728,17,113
729,18,107
730,19,102
731,21,112
732,22,112
733,23,105
734,3,110
735,4,114
736,5,118
737,6,135
738,7,168
739,8,175
740,9,158
741,10,158
742,11,153
743,2,103
744,1,107
745,22,110
746,21,106
747,20,98
748,19,109
749,18,96
750,17,101
751,0,112
752,15,103
753,14,108
754,13,116
755,12,135
756,11,163
757,10,187
758,9,195
759,8,187
760,7,177
761,6,191
762,5,161
763,4,172
764,3,126
765,2,120
766,16,101
767,23,108
768,15,135
769,0,102
770,1,98
771,2,108
772,3,113
773,4,104
774,5,109
775,6,113
776,7,123
777,8,134
778,9,179
779,10,179
780,11,202
781,12,188
782,13,175
783,14,191
784,16,140
785,17,118
786,18,113
787,19,111
788,20,115
789,21,125
790,22,127
791,23,166
792,16,115
793,21,96
794,20,103
795,19,105
796,18,104
797,17,104
798,23,110
799,22,100
800,0,157
801,1,195
802,2,186
803,3,185
804,4,166
805,5,167
806,6,177
807,7,173
808,8,185
809,9,170
810,10,168
811,11,152
812,12,141
813,13,120
814,14,106
815,15,106
816,16,112
817,0,100
818,1,100
819,2,100
820,3,106
821,4,106
822,5,119
823,6,151
824,7,173
825,8,189
826,9,182
827,10,176
828,11,141
829,12,132
830,13,116
831,14,113
832,15,100
833,17,111
834,18,102
835,19,98
836,20,91
837,21,89
838,22,95
839,23,97
840,16,93
841,23,75
842,22,59
843,21,82
844,20,94
845,19,104
846,18,104
847,17,104
848,0,99
849,1,96
850,2,101
851,3,103
852,4,108
853,5,124
854,6,170
855,7,193
856,8,194
857,9,193
858,10,182
859,11,182
860,12,159
861,13,123
862,14,111
863,15,100
864,7,155
865,17,98
866,18,81
867,19,87
868,20,81
869,21,77
870,22,87
871,23,99
872,6,106
873,5,96
874,4,93
875,3,67
876,2,78
877,1,84
878,0,83
879,15,93
880,14,113
881,13,100
882,12,114
883,11,131
884,10,173
885,9,181
886,8,169
887,16,104
888,16,114
889,0,89
890,1,69
891,2,81
892,3,87
893,4,92
894,5,102
895,6,117
896,7,194
897,8,209
898,9,185
899,10,119
900,11,159
901,12,160
902,13,138
903,14,117
904,15,114
905,17,112
906,18,91
907,19,101
908,20,97
909,21,103
910,22,96
911,23,99
912,15,126
913,16,91
914,17,104
915,18,100
916,19,93
917,20,87
918,21,96
919,22,96
920,23,93
921,0,105
922,1,109
923,2,102
924,3,120
925,4,113
926,5,129
927,6,142
928,7,156
929,8,175
930,9,146
931,10,162
932,11,156
933,12,155
934,13,137
935,14,137
936,0,88
937,1,99
938,17,106
939,18,105
940,19,96
941,20,95
942,21,85
943,22,96
944,23,98
945,16,149
946,15,168
947,14,152
948,13,162
949,12,145
950,11,147
951,10,174
952,9,158
953,8,185
954,7,198
955,6,190
956,5,170
957,4,105
958,3,100
959,2,99
960,4,134
961,23,116
962,22,114
963,21,95
964,20,98
965,19,100
966,18,103
967,17,104
968,16,104
969,15,120
970,14,115
971,13,122
972,12,131
973,11,109
974,10,183
975,9,151
976,8,153
977,7,213
978,6,200
979,5,185
980,3,118
981,2,107
982,1,102
983,0,97
984,1,102
985,0,109
986,23,101
987,22,104
988,21,100
989,20,99
990,19,98
991,18,110
992,17,108
993,16,116
994,15,126
995,14,123
996,13,139
997,12,139
998,11,166
999,10,182
1000,9,180
1001,8,172
1002,7,183
1003,6,179
1004,5,143
1005,4,116
1006,3,125
1007,2,114
