,i,j,rmse,r2
0,30.0,30.0,83.84352735223595,-7.8082432205049965
1,30.0,60.0,52.930099382516765,-2.4737819291345335
2,30.0,90.0,34.613854199612675,-0.5105898843817516
3,30.0,120.0,31.201622544088,-0.1094041620038142
4,30.0,150.0,28.735824254786817,-0.002735826146843312
5,30.0,180.0,28.324143931452152,-0.01705947172616762
6,30.0,210.0,28.64616728322668,-0.00012078112444879885
7,30.0,240.0,28.503437741177667,-0.0005646470670652715
8,30.0,270.0,28.78218014236116,-0.005102570273744389
9,30.0,300.0,28.288637565922603,-0.02773126584562635
10,30.0,330.0,29.152998095113926,-0.015864972206096173
11,30.0,360.0,28.223920698433027,-0.0005423219237572496
12,30.0,390.0,28.796477919929718,-0.0009185669622062687
13,30.0,420.0,27.37768555460882,-0.030118330272869587
14,30.0,450.0,27.35506135950753,0.0010385621467489115
15,30.0,480.0,27.33688982100192,-0.004640005147325432
16,30.0,510.0,27.122223139010213,-0.011116916440634395
17,30.0,540.0,28.689993035215636,-0.0023322317598695186
18,30.0,570.0,29.80713194725828,-0.017597185215401767
19,30.0,600.0,28.739439268240826,-0.0007366019697037096
20,60.0,30.0,84.82378452065518,-8.230492595814933
21,60.0,60.0,51.66104800254994,-2.2104774163029997
22,60.0,90.0,36.47997361134144,-0.6661378308841972
23,60.0,120.0,28.14341377989975,-0.07111034564995355
24,60.0,150.0,28.79862327712609,-0.030047844380849176
25,60.0,180.0,29.106475445285728,5.1986889544552994e-05
26,60.0,210.0,28.810726930621083,-0.00044171289834271654
27,60.0,240.0,28.425570526836374,-0.0010353663117115275
28,60.0,270.0,28.28468103773354,-0.0005803148044922768
29,60.0,300.0,27.118682463538317,-0.0002749532984083203
30,60.0,330.0,26.695758157092904,-0.005485921864561538
31,60.0,360.0,28.29578993169327,-0.0010030654584414211
32,60.0,390.0,28.489648646403904,-0.0004959406052651438
33,60.0,420.0,27.525165765462294,-0.00013210278861119917
34,60.0,450.0,28.773273993918426,-0.0011396803949137446
35,60.0,480.0,27.18266491834117,0.0015220832198006295
36,60.0,510.0,27.700267971117256,-0.006770537612738048
37,60.0,540.0,26.62556863093594,-0.002808471791987399
38,60.0,570.0,28.69753258180042,-0.0037547516395080027
39,60.0,600.0,27.549555381299456,-0.0007353762816022513
40,90.0,30.0,84.02146258326749,-8.404918402754847
41,90.0,60.0,53.26238380617795,-2.7046674711772067
42,90.0,90.0,36.200079321299796,-0.6111197646786077
43,90.0,120.0,30.187458241558726,-0.16842807084979405
44,90.0,150.0,30.659386184423255,-0.007521322182807211
45,90.0,180.0,27.514818004224463,-0.0012162153346175764
46,90.0,210.0,28.560375008403557,-0.0027038312829605893
47,90.0,240.0,27.903480167628366,-0.0006729703107903884
48,90.0,270.0,27.149994820611816,-0.003213448426345744
49,90.0,300.0,28.462334458196445,-0.0016444025487074576
50,90.0,330.0,28.59157469189179,-0.005323766181273726
51,90.0,360.0,29.860939112266056,-0.02557245833323263
52,90.0,390.0,27.11201933761072,-0.0012633434673199329
53,90.0,420.0,26.53390538892703,-0.006776474869429228
54,90.0,450.0,29.088956084373148,-0.0006417994548124639
55,90.0,480.0,30.034826788668333,-0.0017916250163843017
56,90.0,510.0,29.106235507274256,0.0001471702231308214
57,90.0,540.0,26.48452979350882,-0.004030788721859135
58,90.0,570.0,29.589250576583925,-0.008478734955778
59,90.0,600.0,27.73370104742592,-0.00046391587925342925
60,120.0,30.0,84.31840664267901,-7.8550506056527905
61,120.0,60.0,53.911520620370915,-2.7298553834372323
62,120.0,90.0,30.690378572359034,-0.35857384060059827
63,120.0,120.0,31.080793710037504,-0.09682926668762493
64,120.0,150.0,28.50978890072408,-0.0065526186940263464
65,120.0,180.0,31.711138744200063,-0.014396942333472662
66,120.0,210.0,27.45210200825165,-0.0035117950775278572
67,120.0,240.0,27.50541071056543,0.0011259026038553666
68,120.0,270.0,28.020777182151512,-0.0032273911465359184
69,120.0,300.0,29.119415457961985,3.892795394810911e-06
70,120.0,330.0,27.339891483752154,-0.0017049243482911702
71,120.0,360.0,27.672313752430593,-0.0007166869054078262
72,120.0,390.0,28.89530831096017,0.0019755950971213077
