,i,j,rmse,r2
0,30.0,30.0,1043.8396507387297,-16.963370209700265
1,30.0,60.0,1009.7636869232635,-14.06119665754941
2,30.0,90.0,1016.1196964218846,-11.533408736741867
3,30.0,120.0,964.9846754649436,-9.758859890427523
4,30.0,150.0,926.4323485093404,-9.2757492579289
5,30.0,180.0,905.2739689105754,-9.579418472711025
6,30.0,210.0,870.6567057498639,-7.815407976705951
7,30.0,240.0,816.4333614636661,-7.0541333584890085
8,30.0,270.0,807.3677086324769,-6.619590325137819
9,30.0,300.0,786.9988764300494,-6.800369327152871
10,30.0,330.0,768.4169697734133,-6.981555418594406
11,30.0,360.0,722.0809510610208,-4.978843462281199
12,30.0,390.0,715.6311164358667,-5.242647724602573
13,30.0,420.0,644.8873525248104,-4.469664727710894
14,30.0,450.0,645.370595142031,-4.421242923303193
15,30.0,480.0,591.5161362902514,-3.4910501877470996
16,30.0,510.0,582.9381756795306,-3.3395106432200867
17,30.0,540.0,593.7655645079986,-3.745913370298614
18,30.0,570.0,554.8540719516143,-2.9424633799853384
19,30.0,600.0,512.4387907956938,-2.4664549916821943
20,60.0,30.0,1074.8740624132795,-17.47452166290865
21,60.0,60.0,1023.3612564188069,-13.415909013093744
22,60.0,90.0,992.0456370543642,-11.911252739290815
23,60.0,120.0,987.4083572008049,-10.919005924592515
24,60.0,150.0,916.6387337874534,-9.703091936548779
25,60.0,180.0,893.0987425550649,-8.852884404178033
26,60.0,210.0,843.5566309680045,-7.8212864848445856
27,60.0,240.0,826.1093896273179,-7.767841663197343
28,60.0,270.0,790.1897345397008,-7.591070971688005
29,60.0,300.0,793.3697733940802,-6.969852091762136
30,60.0,330.0,776.7990816691697,-5.516677602830407
31,60.0,360.0,718.4889089685829,-5.236525187492546
32,60.0,390.0,701.4465332769929,-5.084824134758153
33,60.0,420.0,669.5856564669082,-5.050177404176155
34,60.0,450.0,654.7400024004285,-4.46980002685293
35,60.0,480.0,634.8221439522672,-4.484944988371652
36,60.0,510.0,625.8275182070921,-4.331877360888821
37,60.0,540.0,574.1999137005961,-3.5592052274336408
38,60.0,570.0,552.6648680371376,-2.9285622132208786
39,60.0,600.0,531.4716630096738,-3.0580654814856274
40,90.0,30.0,1056.594721359642,-16.902684018389653
41,90.0,60.0,1029.8192676455626,-13.162927810754086
42,90.0,90.0,987.0865388015926,-10.77534426817731
43,90.0,120.0,949.3030677369774,-10.12699398934934
44,90.0,150.0,911.1521680166674,-8.929587533436216
45,90.0,180.0,894.5701419374523,-8.163877476185819
46,90.0,210.0,876.3007349193533,-8.227479028874201
47,90.0,240.0,868.1566829359068,-8.114065072359258
48,90.0,270.0,809.0303088242124,-8.256989039404303
49,90.0,300.0,780.8031650763535,-6.7753584547125145
50,90.0,330.0,753.0086396208236,-5.455778411932201
51,90.0,360.0,731.4601113347583,-5.282822096369474
52,90.0,390.0,697.9057422091493,-5.40268651972285
53,90.0,420.0,674.1858164273624,-4.765892512298519
54,90.0,450.0,633.8986195083438,-4.053821538775287
55,90.0,480.0,635.9257926208796,-4.3768045821937065
56,90.0,510.0,616.0695262787864,-3.927877571854789
57,90.0,540.0,587.6841276118481,-3.204800150942474
58,90.0,570.0,557.8147314692841,-3.2441982762423707
59,90.0,600.0,539.9528871538594,-2.7517252640985324
60,120.0,30.0,1036.6035125453814,-17.389012614508285
61,120.0,60.0,1035.3507811571048,-13.746361547885586
62,120.0,90.0,1004.7725527845176,-12.907366398814911
63,120.0,120.0,984.5534558833169,-10.876298364155968
64,120.0,150.0,929.4859841633267,-8.904620921999907
65,120.0,180.0,879.2992644222699,-9.112703671880633
66,120.0,210.0,862.6552158372709,-8.48930910306228
67,120.0,240.0,852.8334438231758,-8.15192339097253
68,120.0,270.0,810.1685089381397,-7.253306463827591
69,120.0,300.0,767.6684989922144,-7.050205992853225
70,120.0,330.0,765.0769118602285,-6.022635854864253
71,120.0,360.0,733.7697660484245,-6.191915865916163
72,120.0,390.0,698.2956963145923,-5.866071285269441
73,120.0,420.0,663.0822234028587,-5.458839944958394
74,120.0,450.0,647.1313935399554,-4.560116628787254
75,120.0,480.0,627.4495661320193,-4.3887061967643595
76,120.0,510.0,612.348333651225,-3.7006224382469277
77,120.0,540.0,569.7112654825484,-3.611557371332216
78,120.0,570.0,586.7724992810122,-4.226330210136505
79,120.0,600.0,515.1518855214406,-2.9989964733871806
80,150.0,30.0,1051.1480760978861,-17.55775015961224
81,150.0,60.0,1015.4676990058861,-13.735193867349912
82,150.0,90.0,995.1134309154374,-11.665712384985737
83,150.0,120.0,954.5144462079749,-9.639999736016554
84,150.0,150.0,927.4852951840044,-10.074302081002735
85,150.0,180.0,900.3342140476439,-8.73637930273343
86,150.0,210.0,867.5946489756628,-7.95885173509687
87,150.0,240.0,826.0083770921668,-8.356096689901845
88,150.0,270.0,817.8400175435366,-6.204713110300991
89,150.0,300.0,805.0035368190554,-6.748708154943116
90,150.0,330.0,770.9558992672689,-5.789997983357829
91,150.0,360.0,728.0541027472334,-5.838911627666789
92,150.0,390.0,690.7757484756638,-5.035433027548822
93,150.0,420.0,650.4806006751218,-4.72933610267374
94,150.0,450.0,655.1010551369119,-4.708245074811577
95,150.0,480.0,620.9059324723199,-4.234164021751756
96,150.0,510.0,612.2909543681533,-4.04758689931445
97,150.0,540.0,579.6330995932875,-3.5706239623671574
98,150.0,570.0,555.2385850482189,-3.0409207602871655
99,150.0,600.0,553.9108036568629,-3.4360887383260197
100,180.0,30.0,1073.471238502605,-17.095172432036918
101,180.0,60.0,1008.9138164222508,-13.835964718311226
102,180.0,90.0,982.198084704431,-11.10528574873731
103,180.0,120.0,971.9773875711953,-11.35178767470834
104,180.0,150.0,923.9127152294801,-9.65586919805217
105,180.0,180.0,876.4102036461359,-8.575730161166424
106,180.0,210.0,842.5878041236558,-7.976896990244331
107,180.0,240.0,841.7341170720015,-7.381392052910841
108,180.0,270.0,825.7528572454096,-8.0024790141296
109,180.0,300.0,794.4800949585469,-8.251790446752931
110,180.0,330.0,767.2020018485216,-6.408099133668252
111,180.0,360.0,708.2073762506087,-5.749736684277536
112,180.0,390.0,707.2362364130761,-5.578117537337059
113,180.0,420.0,686.5573537915064,-5.726652732710419
114,180.0,450.0,665.877448539029,-4.691738000845849
115,180.0,480.0,642.9855537710912,-4.544230206845766
116,180.0,510.0,619.8599687535535,-4.25258560417963
117,180.0,540.0,576.6287908229602,-3.199149715004256
118,180.0,570.0,561.7960693897885,-3.120363740813462
119,180.0,600.0,568.4055441467988,-3.354256823562793
120,210.0,30.0,1052.3801108657824,-15.86624280749756
121,210.0,60.0,1030.7055126355854,-13.208539630861726
122,210.0,90.0,996.1662258181848,-12.32862278877848
123,210.0,120.0,973.0809091347785,-10.018560112870517
124,210.0,150.0,912.841679902652,-9.05978499016341
125,210.0,180.0,875.3192043920483,-8.768053580521123
126,210.0,210.0,856.4098955406382,-8.355455265708763
127,210.0,240.0,844.5909924021922,-7.24819292615385
128,210.0,270.0,805.364569955624,-7.254901287937475
129,210.0,300.0,779.5495643704006,-6.856357682564652
130,210.0,330.0,741.970127947577,-6.063350253241651
131,210.0,360.0,735.5497598255072,-5.599166511440943
132,210.0,390.0,713.5165763273146,-5.92189558247238
133,210.0,420.0,693.7565858080999,-4.812937049551985
134,210.0,450.0,674.4351379055764,-4.527572312679502
135,210.0,480.0,629.2736761071515,-4.805459676650261
136,210.0,510.0,634.9398734467674,-4.1529332990556656
137,210.0,540.0,592.2424514750144,-3.727995899719943
138,210.0,570.0,579.318444543852,-3.2914959748883836
139,210.0,600.0,567.6166831246161,-3.057498435591267
140,240.0,30.0,1042.841105224712,-16.48136810257372
141,240.0,60.0,1019.3754372275555,-13.157345699753929
142,240.0,90.0,995.1645698821461,-11.601423889262664
143,240.0,120.0,950.9712001332929,-9.994375087234745
144,240.0,150.0,945.3304509044157,-10.046576012328538
145,240.0,180.0,891.395502889147,-8.832058195026896
146,240.0,210.0,865.3504618477756,-8.436627706417223
147,240.0,240.0,839.6217617288618,-7.6486938696184
148,240.0,270.0,815.1176466230232,-7.31106088165923
149,240.0,300.0,788.0098211040755,-7.440309939591109
150,240.0,330.0,743.1695372177271,-5.950023379782843
151,240.0,360.0,742.0264279571461,-5.773804874158697
152,240.0,390.0,694.169216611805,-5.29937911671887
153,240.0,420.0,655.3371014146333,-4.867843855472653
154,240.0,450.0,671.6238173640678,-4.628809736735236
155,240.0,480.0,628.1127991951,-4.129326055661435
156,240.0,510.0,608.7308979267896,-4.0883392851370814
157,240.0,540.0,581.5277311718413,-3.585808104299782
158,240.0,570.0,564.5990718588342,-3.513555429295111
159,240.0,600.0,543.7730517367429,-2.7688908406472468
160,270.0,30.0,1062.9879705653425,-17.218077445730234
161,270.0,60.0,1023.4465515374761,-12.75768106358729
162,270.0,90.0,980.5514167912326,-10.854372445142813
163,270.0,120.0,960.7058982653427,-9.594629434770052
164,270.0,150.0,909.6811744426933,-9.83053557886155
165,270.0,180.0,919.2334049423616,-9.405864220412345
166,270.0,210.0,873.4028235932574,-8.190735955940315
167,270.0,240.0,879.2280093473403,-9.077320680251875
168,270.0,270.0,809.3204422405954,-7.576861021958377
169,270.0,300.0,783.0163166763091,-7.545510014725164
170,270.0,330.0,742.8216135081283,-6.6406022242458445
171,270.0,360.0,733.0855340966671,-5.947827070850822
172,270.0,390.0,707.441665175294,-4.937544263659443
173,270.0,420.0,672.0735997923085,-4.951677468576422
174,270.0,450.0,631.2175084672939,-4.206513284680341
175,270.0,480.0,626.3514274453908,-3.582719003159453
176,270.0,510.0,619.8129079711581,-3.9673539785429055
177,270.0,540.0,586.5195552855613,-3.52640498643112
178,270.0,570.0,579.1076761344235,-3.4145763036270433
179,270.0,600.0,532.7834591783404,-3.0040955122781003
180,300.0,30.0,1072.4607284109038,-18.140255233605146
181,300.0,60.0,991.885106540959,-12.952470084886682
182,300.0,90.0,990.371405250777,-12.347800087405133
183,300.0,120.0,970.9309478061742,-10.653706100733816
184,300.0,150.0,937.6898600490866,-10.006043471834552
185,300.0,180.0,886.7454436184865,-9.773290294437324
186,300.0,210.0,862.2939912753006,-8.75901101551364
187,300.0,240.0,841.2851734204229,-8.456441344953099
188,300.0,270.0,805.6025254295045,-7.238952445063504
189,300.0,300.0,801.861174182805,-7.033049277798758
190,300.0,330.0,781.9803696910909,-6.564971903960793
191,300.0,360.0,739.8984437400097,-6.1325456403748975
192,300.0,390.0,704.6827291186438,-5.252359195450692
193,300.0,420.0,700.5491725358803,-5.8498509745308835
194,300.0,450.0,665.126543469293,-4.4006205057114585
195,300.0,480.0,600.1826572192226,-4.131169659868473
196,300.0,510.0,598.3255900708311,-3.55785970694015
197,300.0,540.0,572.2320574439553,-3.348654722529914
198,300.0,570.0,566.270764494418,-3.2988799441895473
199,300.0,600.0,543.6010719156938,-3.0236283224471103
200,330.0,30.0,1048.5240103391998,-16.945024902174147
201,330.0,60.0,1026.2020725440468,-13.79117407210189
202,330.0,90.0,974.4895793934124,-12.368125853681102
203,330.0,120.0,954.5394322867301,-10.525957782451169
204,330.0,150.0,921.7348546183766,-9.63148867719066
205,330.0,180.0,894.5441617423328,-8.483655433413434
206,330.0,210.0,889.0210413391515,-8.627924797215902
207,330.0,240.0,850.2772018280835,-9.000447839209116
208,330.0,270.0,813.5513611579132,-7.887931330806383
209,330.0,300.0,774.1176460851228,-6.200632419275986
210,330.0,330.0,767.6305673230631,-6.760691986790976
211,330.0,360.0,719.8959174221395,-5.9776908672199
212,330.0,390.0,691.3957784369148,-5.225261682292673
213,330.0,420.0,690.2885111501096,-5.145038719412693
214,330.0,450.0,637.267167955341,-4.426720344547892
215,330.0,480.0,638.5598818444772,-4.702714673791096
216,330.0,510.0,606.7180584405801,-3.8232382567170626
217,330.0,540.0,561.8623496548796,-3.156656188628071
218,330.0,570.0,566.1998515795556,-3.213218660936012
219,330.0,600.0,544.4566870404578,-3.385362912881234
220,360.0,30.0,1065.448190022928,-17.303698629099465
221,360.0,60.0,1008.0394032484421,-13.33993941296388
222,360.0,90.0,992.5715021736537,-11.230572523744641
223,360.0,120.0,960.7434069551026,-10.96137659552203
224,360.0,150.0,933.3359650110704,-10.85288997269207
225,360.0,180.0,886.2059392611021,-8.82756822675341
226,360.0,210.0,860.3425393763193,-8.880131076554568
227,360.0,240.0,843.9745864817643,-7.506412381020055
228,360.0,270.0,835.8377599433071,-7.611929738715246
229,360.0,300.0,785.8023920046189,-6.647290538070486
230,360.0,330.0,725.1341637548778,-5.535607934633005
231,360.0,360.0,732.9218842240697,-5.5936794853653
232,360.0,390.0,709.8438750432937,-5.427482918394276
233,360.0,420.0,698.9587523074939,-5.389404787573837
