,i,j,rmse,r2
0,30.0,30.0,82.47731107133403,-8.108938874858605
1,30.0,60.0,53.211623544494735,-2.520847929067251
2,30.0,90.0,35.79595191527533,-0.6184268270564799
3,30.0,120.0,30.05340039238397,-0.11562875227610947
4,30.0,150.0,28.99840105691056,-0.014164540062133524
5,30.0,180.0,27.479434741850447,-0.0008347019204231199
6,30.0,210.0,29.405805075270088,-0.0007517077337515499
7,30.0,240.0,28.117693699921876,-0.010370511853112108
8,30.0,270.0,31.20237215036596,-0.14656608401800453
9,30.0,300.0,28.95094890156826,-6.363751268612106e-05
10,30.0,330.0,28.46695151159231,-0.009997287221439777
11,30.0,360.0,28.39830705406955,-0.01735940046016915
12,30.0,390.0,30.140002458217076,-1.9084772155952834e-05
13,30.0,420.0,27.680288268659858,-0.009552164838668054
14,30.0,450.0,27.7857299587336,-0.029759498158687725
15,30.0,480.0,28.61662790881138,-0.009511547081563654
16,30.0,510.0,28.16893202470726,-0.0017984621107423049
17,30.0,540.0,27.787701714162168,-0.0027528582522451384
18,30.0,570.0,28.058123373161052,-0.0036215141895679093
19,30.0,600.0,28.98736545817493,-0.0013562333664831616
20,60.0,30.0,82.50189528091607,-7.210332370701753
21,60.0,60.0,51.56662495015418,-2.070776944939727
22,60.0,90.0,33.59176855645233,-0.5837585288883698
23,60.0,120.0,29.698631477769016,-0.06749445401418486
24,60.0,150.0,29.01558482893645,-0.005603640014823386
25,60.0,180.0,29.23939549863819,-8.587602456544552e-05
26,60.0,210.0,27.981877856008534,-0.0006932063667464128
27,60.0,240.0,28.737228141616065,-0.004547779473982327
28,60.0,270.0,29.049973228316006,-0.016399275670045288
29,60.0,300.0,28.850405909528984,-0.003352331302533873
30,60.0,330.0,28.915054537793644,-0.002724171586350632
31,60.0,360.0,27.74635741924791,-0.010546015472062242
32,60.0,390.0,27.956112867796158,-2.3783515799902233e-05
33,60.0,420.0,29.523700067558757,-0.012986066916681027
34,60.0,450.0,30.111375067089835,-0.0037615316091099693
35,60.0,480.0,27.54524206109711,-0.001268438672995309
36,60.0,510.0,28.455571182701526,2.797286063671578e-05
37,60.0,540.0,28.046934475544276,-0.0037532237882889063
38,60.0,570.0,28.36023984993654,-0.0006334209981340155
39,60.0,600.0,27.85641186781751,-0.012905127115967474
40,90.0,30.0,87.64333827468116,-8.757654728744715
41,90.0,60.0,48.79104555101553,-2.2569858710069273
42,90.0,90.0,31.951162292318983,-0.4708215305260137
43,90.0,120.0,27.485630579931687,-0.05695258161124661
44,90.0,150.0,27.96249914793226,-0.006106101876258929
45,90.0,180.0,28.088493191738124,-1.2164486951737885e-05
46,90.0,210.0,28.702069108699288,-0.0034913427983971346
47,90.0,240.0,28.07793313677924,-0.0008089533732604792
48,90.0,270.0,27.990800536073827,-0.0066011222405892855
49,90.0,300.0,26.759078978949624,-0.003211158792684188
50,90.0,330.0,27.747780887201614,-0.0024921738215080147
51,90.0,360.0,27.78543355469765,-9.743491731994958e-05
52,90.0,390.0,27.73299689032414,-0.0015142937015801827
53,90.0,420.0,28.837717474086073,-0.004187290472003724
54,90.0,450.0,27.3934451726722,-0.00029646285260143124
55,90.0,480.0,29.39854707776302,-0.0018073443981936332
56,90.0,510.0,27.0576052243198,-0.0022702738042974513
57,90.0,540.0,28.281155744523065,-0.01157251907977419
58,90.0,570.0,28.45130474120612,-0.0038610625853887637
59,90.0,600.0,28.9625035396293,-0.002578043887301984
60,120.0,30.0,88.29431461898952,-7.594400219293785
61,120.0,60.0,52.42037436676774,-2.253633620361169
62,120.0,90.0,36.82490236777505,-0.6143748317915567
63,120.0,120.0,29.20075978499258,-0.09530083513625143
64,120.0,150.0,28.298998155103405,-0.0007718312432378749
65,120.0,180.0,29.997209014670315,-0.001951092675107624
66,120.0,210.0,28.758713107722066,-0.00984887390820477
67,120.0,240.0,28.40914720099466,-0.007904120847831209
68,120.0,270.0,28.850069248735746,-0.0012921983833511508
69,120.0,300.0,29.09120142025902,-0.007299658545462773
70,120.0,330.0,27.26536078705639,-0.0007277890808232712
71,120.0,360.0,29.75959140442136,-2.1816664203200276e-05
72,120.0,390.0,28.274611670360233,-0.00040463896180065184
73,120.0,420.0,27.63402521878363,-0.0041719522553611554
74,120.0,450.0,30.937913122007195,-0.00946211644857109
75,120.0,480.0,27.500958647065733,-0.0018152181684254476
76,120.0,510.0,27.473063436262144,-0.00012440929392987243
77,120.0,540.0,27.06307545262509,-0.04401487217451372
78,120.0,570.0,29.32177738192404,-0.0007316672438697491
79,120.0,600.0,28.082720508544963,-0.0026149778841293436
80,150.0,30.0,88.27055920764339,-8.228199619681043
81,150.0,60.0,51.48119073204639,-2.1515636157968503
82,150.0,90.0,33.51987061668778,-0.521576891538365
83,150.0,120.0,29.65641720708358,-0.11279600166398418
84,150.0,150.0,28.449866660211303,-0.02303753915869433
85,150.0,180.0,27.402913545808982,-0.00012920008813388506
86,150.0,210.0,28.005923258090075,-0.007842815021081195
87,150.0,240.0,28.56985051389766,-0.003296495194357263
88,150.0,270.0,25.86797876040721,-0.025486948817159405
89,150.0,300.0,29.5893686045415,-0.0011162035991898467
90,150.0,330.0,27.52145612754757,-0.007333188357985465
91,150.0,360.0,28.510941052245247,-0.0005055508297606703
92,150.0,390.0,27.671181377405738,-0.03390661669233741
93,150.0,420.0,27.93509623470739,-0.00014690920735471735
94,150.0,450.0,29.102661861068817,-0.003155449017170797
95,150.0,480.0,27.556269099644854,-0.004286061703932864
96,150.0,510.0,29.129785450433673,-0.007178053989554289
97,150.0,540.0,28.871974986903723,-0.0046822678928606365
98,150.0,570.0,27.32696490124305,-0.012950680965739148
99,150.0,600.0,28.900772104187233,-0.016857066565613144
100,180.0,30.0,84.78088183761854,-8.098785488175416
101,180.0,60.0,55.21127817020205,-2.407544516126834
102,180.0,90.0,37.149555312023814,-0.5943399255334008
103,180.0,120.0,30.14060872308112,-0.1181372208054221
104,180.0,150.0,28.476321487853525,-0.0003321863265377534
105,180.0,180.0,26.592333552077584,-0.018020027730464294
106,180.0,210.0,27.79270054155637,-0.03161771194050522
107,180.0,240.0,30.5306972028303,-0.001616020258074391
108,180.0,270.0,27.935066303810302,-0.005992107508562272
109,180.0,300.0,28.07093169747594,-0.00036943535014555273
110,180.0,330.0,28.860587604367325,-0.004058839827680405
111,180.0,360.0,27.961725346949486,-0.0016331482723137558
112,180.0,390.0,28.87142161452397,-0.0006340464681133806
113,180.0,420.0,28.08171146069087,-0.0031152184774905223
114,180.0,450.0,26.348734462714784,-0.005818307618494334
115,180.0,480.0,29.88425763395792,-0.14035780969984413
116,180.0,510.0,29.62708346463205,-0.00684467609974404
117,180.0,540.0,27.22348346523502,-0.0005883304349845186
118,180.0,570.0,27.88916414308504,-1.1049081796388194e-05
119,180.0,600.0,27.23683397151724,-0.0016651420219329083
120,210.0,30.0,86.53427524428665,-7.374270515284982
121,210.0,60.0,54.14076496329458,-2.698010945624626
122,210.0,90.0,33.25084253476911,-0.47538195569468167
123,210.0,120.0,30.193964001255136,-0.07842945315341887
124,210.0,150.0,29.232664279045157,-0.01781111050011175
125,210.0,180.0,28.60754995178177,-0.0014435119262763418
126,210.0,210.0,27.874609742705136,-0.0013951168872563535
127,210.0,240.0,29.097559185628082,-0.000943681856071743
128,210.0,270.0,27.445905075892647,-0.0008413458530793783
129,210.0,300.0,29.447854699419356,-0.013239206703018702
130,210.0,330.0,29.8191718229579,-9.921729341089147e-05
131,210.0,360.0,29.699535739305094,-0.01933800415394593
132,210.0,390.0,28.13103703501434,-0.0007981291299732352
133,210.0,420.0,26.58017487958286,-0.0005431457199238654
134,210.0,450.0,26.81533398693445,-0.0018115007423005203
135,210.0,480.0,27.852494895540627,-0.0004414035767843494
136,210.0,510.0,27.564800201726253,-0.003078841437361035
137,210.0,540.0,29.134393818036596,-4.139629973876069e-05
138,210.0,570.0,26.957090781345975,-0.08983567804465609
139,210.0,600.0,29.013668120870367,7.62661318032265e-06
140,240.0,30.0,84.92262253879613,-7.913578031232214
141,240.0,60.0,54.676924844649776,-3.0583726132089177
142,240.0,90.0,37.30235143581633,-0.6457547363218796
143,240.0,120.0,30.464170382301784,-0.09047238218312215
144,240.0,150.0,27.43346807414567,-0.007148365717415839
145,240.0,180.0,29.191370914523,-0.0005312452334680362
146,240.0,210.0,29.19135105211658,-0.05530094268570518
147,240.0,240.0,28.508642629682797,-0.04810831649755909
148,240.0,270.0,28.81996376504146,-0.029402795823089134
149,240.0,300.0,30.302548964100637,-0.06376187963376756
150,240.0,330.0,28.4982936684983,-0.01251704652802732
151,240.0,360.0,28.79382979133387,-0.003586584010086158
152,240.0,390.0,28.340817388660422,-0.002460298496272717
153,240.0,420.0,28.473509084517445,-0.0033034859307508047
154,240.0,450.0,28.04801213613125,-0.002267392021381598
155,240.0,480.0,29.482801290559813,-0.003490041341543293
156,240.0,510.0,26.904436287954855,-0.0008744807119995812
157,240.0,540.0,27.12477254102947,-0.004111209625440981
158,240.0,570.0,28.703544367111967,-0.0005529746710546402
159,240.0,600.0,28.502911147111757,-0.003579366915979376
160,270.0,30.0,83.64275473230235,-7.69039920059717
161,270.0,60.0,57.6500133785673,-2.9132267073836444
162,270.0,90.0,34.274784530167295,-0.4469787933859297
163,270.0,120.0,32.33771098730693,-0.19138003917829627
164,270.0,150.0,30.114030845032467,-0.02616476564881598
165,270.0,180.0,27.409361979905295,-0.0015122372596461098
166,270.0,210.0,29.098740788800374,-0.0017654124142936212
167,270.0,240.0,29.28049075031106,-0.020219846428044752
168,270.0,270.0,28.585601264392565,-0.0012052262445414463
169,270.0,300.0,27.82423332184888,-0.02031094479107809
170,270.0,330.0,28.464671029782266,-2.050258972174923e-05
171,270.0,360.0,26.894654635850145,-0.03351896637922569
172,270.0,390.0,28.27712782687687,-0.001232209716028665
173,270.0,420.0,28.67416451019947,-0.0007217089395983312
174,270.0,450.0,26.94279694087509,-0.002439083814823828
175,270.0,480.0,27.382236677753035,-0.013662206969994317
176,270.0,510.0,28.755744474443677,-0.017727065881960824
177,270.0,540.0,27.957929665296714,-0.026365512868172125
178,270.0,570.0,27.971531283935608,-0.0001867321723165727
179,270.0,600.0,28.751658439611457,-0.005064795598202387
180,300.0,30.0,86.95238640165219,-8.175071349934663
181,300.0,60.0,53.03081211183758,-2.517898998082845
182,300.0,90.0,37.42970301294711,-0.7198163135902296
183,300.0,120.0,28.70596026933574,-0.05901917747765317
184,300.0,150.0,27.25849999557477,-0.021433174174585456
185,300.0,180.0,28.254814118381056,-0.000893278386942864
186,300.0,210.0,27.503205190045644,-0.01268784285773683
187,300.0,240.0,28.523671348431808,-0.0008905820409792486
188,300.0,270.0,29.044542804854846,-0.003002813575084584
189,300.0,300.0,29.28256074032618,-1.7695015206431464e-05
190,300.0,330.0,27.13724691966371,-0.004069858438422225
191,300.0,360.0,28.9850513059258,-0.0009850498246737338
192,300.0,390.0,27.652595522126706,-0.012978682188847568
193,300.0,420.0,28.8088137288191,-0.003063671730408002
194,300.0,450.0,28.621045485621956,-0.0002233797487107836
195,300.0,480.0,27.350437864345135,-0.005506346451958688
196,300.0,510.0,28.877643208711163,-0.019256253366120912
197,300.0,540.0,28.16398686610478,-0.028936594871330268
198,300.0,570.0,27.744664323240002,-0.009843434421531683
199,300.0,600.0,27.758174108460732,-0.0012442964435299686
200,330.0,30.0,81.50927835266745,-8.027860014290253
201,330.0,60.0,53.0587278104925,-2.7518113232712795
202,330.0,90.0,30.97095629753525,-0.44213707799963387
203,330.0,120.0,30.05016238908302,-0.061004223718785555
204,330.0,150.0,28.734044928548933,-0.018381345140497052
205,330.0,180.0,28.541338764982324,-0.01565861758081244
206,330.0,210.0,28.476420424743488,-0.0018114607585033582
207,330.0,240.0,28.55450120370851,-0.0008805670240505936
