,i,j,rmse,r2
0,30.0,30.0,1065.9254695190311,-16.26104674309519
1,30.0,60.0,1013.208760661201,-15.635691912704957
2,30.0,90.0,980.879332728395,-10.943255050117502
3,30.0,120.0,944.1044159764518,-10.545472760051755
4,30.0,150.0,924.6804183920734,-9.212054442548306
5,30.0,180.0,895.4054469566115,-8.161765981846214
6,30.0,210.0,858.4037054281722,-7.517226212286572
7,30.0,240.0,831.5503709105747,-7.557502273665556
8,30.0,270.0,822.6869084824158,-7.505770211973953
9,30.0,300.0,784.1349681833376,-6.239968109277539
10,30.0,330.0,743.8713116890385,-5.983305282714557
11,30.0,360.0,720.7250913324056,-5.884814939922512
12,30.0,390.0,691.4639846058727,-5.154213418678706
13,30.0,420.0,676.978227647498,-4.868401736832473
14,30.0,450.0,638.2784255727657,-4.814261758967312
15,30.0,480.0,610.7787623933806,-4.071935563046003
16,30.0,510.0,616.9603154320243,-3.9417210622301493
17,30.0,540.0,573.5988174004427,-3.880039029568673
18,30.0,570.0,529.790000984436,-2.9453867717993836
19,30.0,600.0,499.8142629040165,-2.3648293683187376
20,60.0,30.0,1062.066099729198,-17.300738587821353
21,60.0,60.0,1017.9984266091808,-13.170701479509091
22,60.0,90.0,951.2593282963551,-10.906290107001947
23,60.0,120.0,955.063740057849,-9.725743850652982
24,60.0,150.0,936.4840587287216,-10.36904122165255
25,60.0,180.0,900.6891877911705,-9.181467888344411
26,60.0,210.0,865.1277077059441,-8.961407641859871
27,60.0,240.0,838.0270679150601,-8.036902456157687
28,60.0,270.0,826.5008822792935,-7.813745091023195
29,60.0,300.0,771.3923020688475,-6.349315465303954
30,60.0,330.0,764.2276789802023,-6.779975419648033
31,60.0,360.0,734.7088111699462,-5.872182011523398
32,60.0,390.0,690.796341701162,-5.138970159541188
33,60.0,420.0,677.4606826616856,-4.911680118680283
34,60.0,450.0,652.1181521119277,-4.848993929040013
35,60.0,480.0,633.7110254039782,-3.994904144220999
36,60.0,510.0,575.7577384943576,-3.366345496392105
37,60.0,540.0,576.5044622029101,-3.5016041784473635
38,60.0,570.0,562.4811274916532,-3.1703853686475467
39,60.0,600.0,564.2276354458998,-3.3562778407013116
40,90.0,30.0,1053.1115926557927,-17.357337096979634
41,90.0,60.0,1000.1007731843723,-13.469363798700353
42,90.0,90.0,981.3505323611636,-11.371493449259896
43,90.0,120.0,957.3427846125754,-9.67536925195655
44,90.0,150.0,913.0361842978205,-10.119980458763582
45,90.0,180.0,896.040273429589,-9.456645639752137
46,90.0,210.0,865.9084398693695,-7.719746173589154
47,90.0,240.0,816.7925414102791,-7.528835636724155
48,90.0,270.0,804.0549369256577,-7.277831147181368
49,90.0,300.0,769.0793868988001,-6.750078790475537
50,90.0,330.0,752.458059876316,-5.952301771820551
51,90.0,360.0,740.6803880288353,-6.097154882397865
52,90.0,390.0,705.3794136034626,-5.845480709936966
53,90.0,420.0,678.2380909581649,-4.532108674211123
54,90.0,450.0,652.3051436923847,-4.156330263874316
55,90.0,480.0,631.1225966506643,-4.167363380085899
56,90.0,510.0,592.2271526389517,-3.655973523126258
57,90.0,540.0,578.1932043942793,-3.3481983465805802
58,90.0,570.0,559.1081728894922,-3.184233782701697
59,90.0,600.0,550.781990761235,-3.107876784606754
60,120.0,30.0,1050.5293192786753,-16.45258285539267
61,120.0,60.0,1032.8211560534626,-13.16348878862305
62,120.0,90.0,978.4472054258571,-11.35043740745616
63,120.0,120.0,974.600612598261,-9.505664965998806
64,120.0,150.0,900.1869184910743,-10.29147477283998
65,120.0,180.0,902.0518995711752,-9.391599476403362
66,120.0,210.0,866.8376419010882,-8.306513346003008
67,120.0,240.0,848.4203685376358,-8.194634794983068
68,120.0,270.0,786.5611358964019,-6.714127811661786
69,120.0,300.0,796.827004021242,-6.830617305070413
70,120.0,330.0,748.8512608954339,-7.249044660439679
71,120.0,360.0,728.2494667282319,-5.649522985531593
72,120.0,390.0,699.7688967334504,-5.104504492343796
73,120.0,420.0,668.9956686086778,-4.288461323252923
74,120.0,450.0,644.8283897048158,-4.210835154020809
75,120.0,480.0,634.091862398903,-3.8242778956087897
76,120.0,510.0,589.7831527427038,-3.8397299625070085
77,120.0,540.0,602.8259419947958,-3.8498162663525695
78,120.0,570.0,549.4874034326504,-3.115422764576785
79,120.0,600.0,513.145652477712,-2.644355109437769
80,150.0,30.0,1053.1124741124231,-15.745594575108916
81,150.0,60.0,1018.3999723402277,-13.20843172924197
82,150.0,90.0,967.0698683843032,-10.741566291654769
83,150.0,120.0,968.8554771194106,-9.34245342223447
84,150.0,150.0,917.4176252560969,-9.833381265095115
85,150.0,180.0,891.1165589765326,-8.394635560222298
86,150.0,210.0,864.2694319813227,-8.550256285899149
87,150.0,240.0,826.1398343179045,-8.566318974697214
88,150.0,270.0,800.1213202724139,-8.201207981302792
89,150.0,300.0,793.1616094322533,-6.689854087305844
90,150.0,330.0,750.9950369160604,-6.289462029287788
91,150.0,360.0,723.4054141922544,-5.88413834224324
92,150.0,390.0,712.255083201746,-5.019825228145376
93,150.0,420.0,665.2929553661718,-5.139446320767378
94,150.0,450.0,663.1727613364377,-4.8014464940449235
95,150.0,480.0,588.9336342079575,-3.955165574055675
96,150.0,510.0,611.8484460842587,-4.0692097551217
97,150.0,540.0,585.0909270018293,-3.438359925122538
98,150.0,570.0,524.202220333219,-3.1787347740100853
99,150.0,600.0,533.5918102310771,-2.9655327549376196
100,180.0,30.0,1069.1386141906223,-18.20223582006019
101,180.0,60.0,1006.8877436772942,-12.601469037582781
102,180.0,90.0,1000.5451755958944,-11.35379419862553
103,180.0,120.0,954.6154298809553,-10.676787694068592
104,180.0,150.0,940.914252267667,-8.709412388520247
105,180.0,180.0,909.2015802772773,-8.679008583593859
106,180.0,210.0,864.2403834442414,-9.192490582978202
107,180.0,240.0,833.2741242118855,-8.443902147241918
108,180.0,270.0,818.1182812928506,-7.405269385218656
109,180.0,300.0,775.9926984390127,-6.67175926987027
110,180.0,330.0,744.5886347237075,-6.18439144481495
111,180.0,360.0,750.7777564872147,-6.621918144427518
112,180.0,390.0,701.0840213866428,-5.147967595465667
113,180.0,420.0,677.6169588815134,-5.498415507525936
114,180.0,450.0,646.4904373896168,-4.514414839840325
115,180.0,480.0,627.5601517220216,-4.079589880487576
116,180.0,510.0,601.6889032813153,-3.642808767870681
117,180.0,540.0,581.8224694063729,-3.1015975135882736
118,180.0,570.0,558.8685243579934,-3.208180146092354
119,180.0,600.0,527.0751939316269,-2.9901474245353428
120,210.0,30.0,1029.847342269077,-16.6160666707533
121,210.0,60.0,1009.546221152604,-13.943446464243475
122,210.0,90.0,989.8782067412366,-11.760220989304335
123,210.0,120.0,951.3161757215414,-10.033992215143464
124,210.0,150.0,964.3998197759769,-11.098098027296134
125,210.0,180.0,879.7024191184663,-8.30325999665582
126,210.0,210.0,879.16195104802,-8.287775595405405
127,210.0,240.0,831.7775473627127,-7.567802441900283
128,210.0,270.0,811.4811290777042,-7.4559737258352845
129,210.0,300.0,773.6127622492077,-6.812764758122467
130,210.0,330.0,746.9017974846194,-5.840914046680141
131,210.0,360.0,720.0414577448861,-5.8252338349859825
132,210.0,390.0,692.6605246820947,-5.119782889057231
133,210.0,420.0,638.6369003127962,-4.684231353427117
134,210.0,450.0,669.623128404542,-4.673988467952966
135,210.0,480.0,644.0907083468178,-4.3843704183297545
136,210.0,510.0,613.9587708789826,-3.9812767418002353
137,210.0,540.0,583.8611291420045,-3.4609036087276017
138,210.0,570.0,547.7931417601488,-3.130265862387983
139,210.0,600.0,549.0825502928734,-3.0258536588547407
140,240.0,30.0,1047.2947535927103,-17.704127842813175
141,240.0,60.0,1009.5977297005192,-13.82203556667915
142,240.0,90.0,970.9384392930466,-11.185960288992241
143,240.0,120.0,959.061371848031,-10.738343808786649
144,240.0,150.0,926.7687878542099,-9.306409883213824
145,240.0,180.0,898.2654919688315,-9.46877997983685
146,240.0,210.0,878.9328108428663,-8.996663476609164
147,240.0,240.0,849.6358780531773,-7.523636078271434
148,240.0,270.0,791.4158157481066,-7.260640202967572
149,240.0,300.0,775.7570588461483,-6.279536997542027
150,240.0,330.0,756.4380106466598,-5.505913531913606
151,240.0,360.0,743.3963457559141,-5.647744429577146
152,240.0,390.0,702.6347491949931,-5.262282184014105
153,240.0,420.0,676.896752981773,-4.875382627410478
154,240.0,450.0,642.1239062385523,-4.871979327704089
155,240.0,480.0,636.7489896739418,-4.0347339788873455
156,240.0,510.0,611.3110135866024,-3.9805411849064503
157,240.0,540.0,576.8723110050033,-3.162621867229784
158,240.0,570.0,550.3362551847171,-2.900157642457696
159,240.0,600.0,543.0957648609063,-3.053311693792601
160,270.0,30.0,1047.8389798666947,-16.146637745469505
161,270.0,60.0,1019.7966509456927,-14.200732853581943
162,270.0,90.0,995.7582151552124,-10.68811097818389
163,270.0,120.0,963.5935717480135,-10.79340972280609
164,270.0,150.0,934.2817850035681,-10.22594476625206
165,270.0,180.0,891.7263526645945,-8.486159977773982
166,270.0,210.0,889.6859048518922,-8.317700267610823
167,270.0,240.0,821.2765538150181,-7.326129125228006
168,270.0,270.0,785.136897624574,-6.281770731012126
169,270.0,300.0,786.4971592265542,-6.433748429386504
170,270.0,330.0,769.363999712722,-6.281599403892108
171,270.0,360.0,740.0432922503654,-6.175205611897555
172,270.0,390.0,706.987595658642,-5.987167974806476
173,270.0,420.0,673.7557201015562,-4.739700634011286
174,270.0,450.0,655.5995446582148,-4.759436146969671
175,270.0,480.0,616.2676812178538,-3.8828152377588134
176,270.0,510.0,601.3934585584437,-3.8609524270054685
177,270.0,540.0,578.024483600366,-3.078468999639899
178,270.0,570.0,538.1697964690356,-3.1972693300131843
179,270.0,600.0,535.8947447352275,-2.8704289336712954
180,300.0,30.0,1061.6675730758427,-17.440668794423623
181,300.0,60.0,1019.8832908076866,-14.549982241017478
182,300.0,90.0,1006.7010674796941,-11.748179984133758
183,300.0,120.0,963.7845388868982,-11.214969794655863
184,300.0,150.0,939.881788531853,-9.534532346523173
185,300.0,180.0,894.8473848119526,-8.798384568224003
186,300.0,210.0,895.3793896361814,-8.312291714420732
187,300.0,240.0,824.9102958791628,-7.307885920563559
188,300.0,270.0,805.4799808823444,-6.940927775757265
189,300.0,300.0,777.3414461466805,-6.624188398568002
190,300.0,330.0,760.9455394004601,-6.143031376245168
191,300.0,360.0,755.2563017390102,-5.897991849689286
192,300.0,390.0,688.9116049375489,-4.533676560034274
193,300.0,420.0,680.5381562666287,-4.99342702756821
194,300.0,450.0,650.0185462933446,-4.34794197813575
195,300.0,480.0,623.2524195885444,-3.915162143810653
196,300.0,510.0,613.5731051080562,-3.7425675435043386
197,300.0,540.0,584.5487468429374,-3.5225144871010374
198,300.0,570.0,568.917066318371,-3.6147522048471705
199,300.0,600.0,541.3896354618976,-3.147442796507489
200,330.0,30.0,1034.8394953931781,-17.04050237524637
201,330.0,60.0,1038.8424189362947,-14.056559128853602
202,330.0,90.0,977.0902536111108,-10.111972381660708
203,330.0,120.0,959.1069830633649,-10.543922852609326
204,330.0,150.0,945.6497822713011,-10.591716989144839
205,330.0,180.0,882.6689795136487,-7.827548783864122
206,330.0,210.0,863.0051168423906,-8.639493784617967
207,330.0,240.0,834.8432071407335,-9.482142471903574
208,330.0,270.0,833.7575111560907,-7.662148990407701
209,330.0,300.0,773.696504435,-6.525029546175551
210,330.0,330.0,753.6516438596648,-5.674779540296364
