,i,j,rmse,r2
0,30.0,30.0,79.13258592024258,-7.280988116091038
1,30.0,60.0,47.25465043543977,-1.9529803368406573
2,30.0,90.0,31.716555573118796,-0.3302812775782189
3,30.0,120.0,27.633740025420497,-0.009835840650244121
4,30.0,150.0,27.617484891686626,-0.008648148453670013
5,30.0,180.0,27.827578239529092,-0.024052613793631217
6,30.0,210.0,27.890226860645374,-0.028668732431557986
7,30.0,240.0,27.905882504180923,-0.0298239034554042
8,30.0,270.0,27.90724421433016,-0.02992440956735143
9,30.0,300.0,27.908283490052224,-0.03000112049995285
10,30.0,330.0,27.90733484771954,-0.029931099277801243
11,30.0,360.0,27.876246552004897,-0.02763772597258951
12,30.0,390.0,27.840282505445543,-0.024987859134030233
13,30.0,420.0,27.92243437824778,-0.03104590893611281
14,30.0,450.0,27.91160154426717,-0.030246051559367437
15,30.0,480.0,27.911162081577114,-0.0302136097708694
16,30.0,510.0,27.856665356636938,-0.02619453972926733
17,30.0,540.0,27.909839321678174,-0.03011596475305378
18,30.0,570.0,27.934421625625856,-0.031931365782690735
19,30.0,600.0,27.909843178714613,-0.030116249469496426
20,60.0,30.0,79.12282199224657,-7.278944710519562
21,60.0,60.0,47.61191084825362,-1.9978000940644889
22,60.0,90.0,31.988480224117392,-0.353189626501039
23,60.0,120.0,27.68937023165156,-0.013905787179172568
24,60.0,150.0,27.589623533384305,-0.00661406516591434
25,60.0,180.0,27.800424763363804,-0.02205509740869127
26,60.0,210.0,27.88434628682781,-0.02823499449741429
27,60.0,240.0,27.874588646135862,-0.027515494598977508
28,60.0,270.0,27.905906955011293,-0.029825708097174886
29,60.0,300.0,27.906264615715067,-0.02985210613171896
30,60.0,330.0,27.90725276629053,-0.029925040792277535
31,60.0,360.0,27.89399287660493,-0.02894655336393326
32,60.0,390.0,27.90639226166384,-0.02986152743920245
33,60.0,420.0,27.906719422175392,-0.029885674738214574
34,60.0,450.0,27.781163444999383,-0.020639341420033874
35,60.0,480.0,27.908089993159216,-0.029986837907060693
36,60.0,510.0,27.906619952978257,-0.029878333014016212
37,60.0,540.0,27.912895716744554,-0.030341592260861194
38,60.0,570.0,27.913353080200526,-0.030375357618420917
39,60.0,600.0,27.909915359862627,-0.030121577702202806
40,90.0,30.0,80.73551097791983,-7.619868529751955
41,90.0,60.0,48.81909169044491,-2.1517432770566725
42,90.0,90.0,31.916796643134944,-0.34713164617263925
43,90.0,120.0,27.788538974577715,-0.021181345711962507
44,90.0,150.0,27.58034717253414,-0.005937278438422178
