,umid_inst,vento_vel
0,79,104
1,79,121
2,75,94
3,72,91
4,66,103
5,64,107
6,61,107
7,62,103
8,64,106
9,60,119
10,61,109
11,65,151
12,70,159
13,75,173
14,86,188
15,87,191
16,87,163
17,83,169
18,83,170
19,78,126
20,76,106
21,77,108
22,76,102
23,79,111
24,85,190
25,88,161
26,89,185
27,90,181
28,91,172
29,91,189
30,91,184
31,91,164
32,91,173
33,90,164
34,87,177
35,77,164
36,73,164
37,65,141
38,60,134
39,58,130
40,55,118
41,51,99
42,54,109
43,58,101
44,67,95
45,75,95
46,79,101
47,81,138
48,86,178
49,88,213
50,88,207
51,86,158
52,86,151
53,80,132
54,85,159
55,87,173
56,86,178
57,86,182
58,79,165
59,70,154
60,69,163
61,59,155
62,54,133
63,55,130
64,60,102
65,61,111
66,58,100
67,61,104
68,66,95
69,73,89
70,77,106
71,81,100
72,79,97
73,78,99
74,78,108
75,78,113
76,78,137
77,85,198
78,87,186
79,88,183
80,87,185
81,87,177
82,81,179
83,72,152
84,68,160
85,65,167
86,58,137
87,62,124
88,60,107
89,61,112
90,61,107
91,63,96
92,68,99
93,74,99
94,77,84
95,79,102
96,81,102
97,82,103
98,82,104
99,80,102
100,78,110
101,77,133
102,79,147
103,85,177
104,87,174
105,87,173
106,82,170
107,75,151
108,66,145
109,59,141
110,52,133
111,52,121
112,56,107
113,58,98
114,60,96
115,63,103
116,70,102
117,76,90
118,77,96
119,79,102
120,80,105
121,79,103
122,78,104
123,78,117
124,76,109
125,77,132
126,83,196
127,87,183
128,88,177
129,87,181
130,81,180
131,67,147
132,65,148
133,61,165
134,58,147
135,51,170
136,48,116
137,57,106
138,57,98
139,59,89
140,64,89
141,71,100
142,73,100
143,77,114
144,79,138
145,79,122
146,77,121
147,77,118
148,75,127
149,83,187
150,87,174
151,87,170
152,82,171
153,78,171
154,71,176
155,64,166
156,60,169
157,55,164
158,51,131
159,48,98
160,49,108
161,49,108
162,49,110
163,54,108
164,63,115
165,72,111
166,74,94
167,76,100
168,76,120
169,78,119
170,81,101
171,79,96
172,77,102
173,81,116
174,89,134
175,89,185
176,90,112
177,91,163
178,91,161
179,80,149
180,67,162
181,61,161
182,57,157
183,57,150
184,57,134
185,56,102
186,55,101
187,55,103
188,62,95
189,71,97
190,75,106
191,78,83
192,80,104
193,77,100
194,76,93
195,75,94
196,68,100
197,60,93
198,59,98
199,60,101
200,56,100
201,55,106
202,52,127
203,58,151
204,64,132
205,71,161
206,81,187
207,82,174
208,82,193
209,75,150
210,78,126
211,80,103
212,78,113
213,78,111
214,79,99
215,79,99
216,78,91
217,79,94
218,80,111
219,84,174
220,88,161
221,89,199
222,90,213
223,90,169
224,90,189
225,91,181
226,82,177
227,70,140
228,60,157
229,54,180
230,51,182
231,52,136
232,53,110
233,58,104
234,57,106
235,64,100
236,71,111
237,76,109
238,77,109
239,75,110
240,76,110
241,79,107
242,75,103
243,75,103
244,70,100
245,70,119
246,70,121
247,70,122
248,79,126
249,81,190
250,77,182
251,69,170
252,60,167
253,55,155
254,54,166
255,55,143
256,58,102
257,60,102
258,61,98
259,63,93
260,74,110
261,73,109
262,75,98
263,86,93
264,88,101
265,91,102
266,91,120
267,91,107
268,91,129
269,91,74
270,92,76
271,93,47
272,93,124
273,93,150
274,93,173
275,93,227
276,91,209
277,90,187
278,78,138
279,72,134
280,76,101
281,73,125
282,76,108
283,80,108
284,78,94
285,81,77
286,83,83
287,82,84
288,83,100
289,84,91
290,88,100
291,91,153
292,92,145
293,91,142
294,92,202
295,92,174
296,92,92
297,92,181
298,92,151
299,92,142
300,88,172
301,74,129
302,86,109
303,77,116
304,73,108
305,90,171
306,74,88
307,78,82
308,82,100
309,84,93
310,91,100
311,92,117
312,92,139
313,92,135
314,92,155
315,93,134
316,93,121
317,93,122
318,93,154
319,93,164
320,93,166
321,92,156
322,92,152
323,91,160
324,91,137
325,82,144
326,75,139
327,74,115
328,69,110
329,66,122
330,66,124
331,70,108
332,77,115
333,80,123
334,82,130
335,83,138
336,81,115
337,79,116
338,77,115
339,77,120
340,75,133
341,77,149
342,78,135
343,82,159
344,83,155
345,82,163
346,77,170
347,69,141
348,61,146
349,57,132
350,53,124
351,57,102
352,58,106
353,57,106
354,60,105
355,66,114
356,70,110
357,76,104
358,78,104
359,81,105
360,87,116
361,87,138
362,88,108
363,88,110
364,90,144
365,91,123
366,91,133
367,91,149
368,91,152
369,89,160
370,81,158
371,73,129
372,67,134
373,63,132
374,59,104
375,67,123
376,76,166
377,67,115
378,68,122
379,68,131
380,72,124
381,75,127
382,80,134
383,79,141
384,85,130
385,83,170
386,88,194
387,89,130
388,90,190
389,91,183
390,91,132
391,92,125
392,92,135
393,92,162
394,92,177
395,92,158
396,90,180
397,78,154
398,71,160
399,67,151
400,68,146
401,71,130
402,86,184
403,72,159
404,72,129
405,72,92
406,80,125
407,83,132
408,80,121
409,86,169
410,87,144
411,89,185
412,90,177
413,90,174
414,91,177
415,91,168
416,91,171
417,91,174
418,91,179
419,89,190
420,83,164
421,84,176
422,70,131
423,70,148
424,60,123
425,60,111
426,61,99
427,63,91
428,68,95
429,73,106
430,80,102
431,82,120
432,74,174
433,82,120
434,87,126
435,89,221
436,89,185
437,89,150
438,84,139
439,88,176
440,90,189
441,90,173
442,90,173
443,83,157
444,70,169
445,64,178
446,60,145
447,55,139
448,60,114
449,60,93
450,59,73
451,63,83
452,67,82
453,77,83
454,80,102
455,85,197
456,67,152
457,88,167
458,90,172
459,91,184
460,91,192
461,89,170
462,90,189
463,90,159
464,91,170
465,91,201
466,91,189
467,77,162
468,66,162
469,57,149
470,55,152
471,55,140
472,51,125
473,53,104
474,60,95
475,65,103
476,70,105
477,75,102
478,78,100
479,79,104
480,76,114
481,83,125
482,81,116
483,78,112
484,73,115
485,73,124
486,74,138
487,77,162
488,82,172
489,77,151
490,76,166
491,72,164
492,79,112
493,81,119
494,63,171
495,54,156
496,53,160
497,52,142
498,51,142
499,50,142
500,55,104
501,60,104
502,62,109
503,68,107
504,56,165
505,50,139
506,55,143
507,55,139
508,47,146
509,71,167
510,75,159
511,79,166
512,78,156
513,77,176
514,85,179
515,89,172
516,88,198
517,87,195
518,85,185
519,83,146
520,82,115
521,80,187
522,77,134
523,72,109
524,62,115
525,59,107
526,57,111
527,49,156
528,83,185
529,50,143
530,52,166
531,45,165
532,52,133
533,56,84
534,61,102
535,64,93
536,72,92
537,76,101
538,78,105
539,56,171
540,64,141
541,68,184
542,77,186
543,82,175
544,86,192
545,86,189
546,79,191
547,75,139
548,75,124
549,75,119
550,80,113
551,80,111
552,65,134
553,55,115
554,73,99
555,62,115
556,58,109
557,54,113
558,54,113
559,58,104
560,56,112
561,75,99
562,77,91
563,79,113
564,82,169
565,87,197
566,88,195
567,90,178
568,88,176
569,88,174
570,87,173
571,86,172
572,82,170
573,80,175
574,71,154
575,56,128
576,79,101
577,79,108
578,78,96
579,74,99
580,66,108
581,62,118
582,60,108
583,55,108
584,54,103
585,54,127
586,56,130
587,63,147
588,74,151
589,81,170
590,83,173
591,88,173
592,89,175
593,89,168
594,90,174
595,89,179
596,88,179
597,87,171
598,86,168
599,83,120
600,76,117
601,78,133
602,81,109
603,81,127
604,81,111
605,77,112
606,75,122
607,78,150
608,86,193
609,88,171
610,86,179
611,85,177
612,81,177
613,70,150
614,56,141
615,54,128
616,53,138
617,54,104
618,56,110
619,56,109
620,61,112
621,61,110
622,65,99
623,73,103
624,74,101
625,80,115
626,81,185
627,86,165
628,80,115
629,77,109
630,75,117
631,75,135
632,82,167
633,82,171
634,86,188
