,vento_vel
1008,107
1009,108
1010,103
1011,109
1012,102
1013,103
1014,115
1015,117
1016,177
1017,184
1018,178
1019,179
1020,153
1021,159
1022,110
1023,97
1024,107
1025,108
1026,111
1027,104
1028,96
1029,94
1030,105
1031,104
1032,107
1033,105
1034,89
1035,73
1036,95
1037,81
1038,95
1039,102
1040,102
1041,110
1042,119
1043,133
1044,154
1045,165
1046,179
1047,177
1048,178
1049,180
1050,164
1051,195
1052,176
1053,199
1054,109
1055,105
1056,124
1057,148
1058,119
1059,109
1060,119
1061,142
1062,144
1063,175
1064,170
1065,175
1066,169
1067,157
1068,145
1069,129
1070,131
1071,110
1072,105
1073,107
1074,110
1075,111
1076,98
1077,109
1078,108
1079,105
1080,94
1081,103
1082,95
1083,92
1084,95
1085,114
1086,108
1087,103
1088,127
1089,148
1090,149
1091,153
1092,166
1093,178
1094,177
1095,184
1096,132
1097,126
1098,118
1099,113
1100,110
1101,103
1102,100
1103,108
1104,132
1105,99
1106,80
1107,93
1108,98
1109,105
1110,108
1111,109
1112,110
1113,107
1114,113
1115,173
1116,125
1117,178
1118,164
1119,166
1120,171
1121,153
1122,157
1123,106
1124,99
1125,98
1126,99
1127,89
1128,147
1129,105
1130,120
1131,102
1132,102
1133,90
1134,104
1135,83
1136,101
1137,95
1138,103
1139,124
1140,117
1141,118
1142,148
1143,145
1144,154
1145,147
1146,158
1147,164
1148,150
1149,86
1150,97
1151,99
1152,173
1153,106
1154,99
1155,110
1156,113
1157,110
1158,110
1159,100
1160,117
1161,138
1162,143
1163,148
1164,176
1165,192
1166,194
1167,185
1168,177
1169,185
1170,131
1171,114
1172,112
1173,109
1174,106
1175,110
1176,111
1177,141
1178,136
1179,132
1180,119
1181,129
1182,129
1183,108
1184,130
1185,120
1186,125
1187,113
1188,108
1189,148
1190,109
1191,113
1192,126
1193,113
1194,118
1195,163
1196,122
1197,110
1198,170
1199,156
1200,106
1201,157
1202,111
1203,142
1204,144
1205,131
1206,116
1207,99
1208,100
1209,129
1210,151
1211,110
1212,101
1213,140
1214,165
1215,107
1216,141
1217,112
1218,107
1219,141
1220,183
1221,191
1222,172
1223,98
1224,172
1225,159
1226,106
1227,116
1228,177
1229,127
1230,103
1231,155
1232,113
1233,177
1234,160
1235,153
1236,182
1237,176
1238,172
1239,95
1240,104
1241,142
1242,106
1243,112
1244,161
1245,156
1246,122
1247,110
1248,145
1249,126
1250,173
1251,108
1252,116
1253,168
1254,138
1255,190
1256,178
1257,163
1258,194
1259,174
1260,106
1261,179
1262,108
1263,134
1264,110
1265,175
1266,124
1267,107
1268,114
1269,138
1270,162
1271,143
1272,167
1273,181
1274,172
1275,143
1276,149
