codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A305,01/08/2019,00,26.1,26.4,26.1,74,74,71,21.0,21.1,20.7,1011.9,1012.0,1011.5,3.4,92,7.6,-3.54,0.0
A305,01/08/2019,01,25.7,26.1,25.6,76,76,73,21.1,21.2,20.8,1012.1,1012.2,1011.9,2.2,113,7.5,-3.54,0.0
A305,01/08/2019,02,25.4,25.7,25.3,77,78,76,21.2,21.3,21.1,1012.0,1012.2,1012.0,1.7,113,6.1,-3.54,0.0
A305,01/08/2019,03,25.4,25.6,25.2,79,79,76,21.4,21.4,21.1,1011.5,1012.0,1011.5,1.4,121,4.8,-3.54,0.0
A305,01/08/2019,04,25.6,25.7,25.4,80,80,78,21.8,21.8,21.4,1010.9,1011.5,1010.9,1.8,110,4.9,-3.54,0.0
A305,01/08/2019,05,25.7,25.8,25.6,77,80,77,21.4,21.9,21.4,1010.1,1010.9,1010.1,1.8,122,6.1,-3.52,0.0
A305,01/08/2019,06,24.4,25.8,24.4,83,83,75,21.2,21.4,21.0,1009.8,1010.1,1009.8,1.2,188,5.0,-3.51,0.0
A305,01/08/2019,07,23.8,24.4,23.8,84,84,83,21.0,21.3,21.0,1009.8,1009.9,1009.7,1.0,188,3.1,-3.51,0.0
A305,01/08/2019,08,23.6,23.8,23.6,86,86,84,21.1,21.1,21.0,1010.1,1010.1,1009.8,1.0,182,2.5,-3.54,0.0
A305,01/08/2019,09,23.7,23.7,23.5,87,87,86,21.4,21.4,21.1,1010.6,1010.6,1010.1,1.2,178,3.0,-0.59,0.0
A305,01/08/2019,10,24.9,24.9,23.7,81,87,81,21.4,21.7,21.3,1011.1,1011.1,1010.6,1.8,178,5.0,251.2,0.0
