,hora,temp_inst,umid_inst,vento_rajada,diff_wind
0,0,26.6,79,4.8,3.4
1,23,26.0,79,4.2,3.7
2,22,26.7,75,5.5,3.8
3,21,27.1,72,6.9,4.800000000000001
4,20,28.1,66,7.4,4.5
5,19,29.3,64,8.4,5.5
6,18,29.9,61,8.4,4.9
7,17,30.2,62,8.7,4.6
8,16,30.3,64,7.7,4.4
9,15,30.3,60,7.4,4.0
10,14,30.6,61,7.8,4.6
11,13,29.1,65,7.2,4.4
12,12,28.5,70,6.6,3.8999999999999995
13,11,27.2,75,6.5,4.3
14,10,24.6,86,5.0,3.0
15,9,24.6,87,3.2,1.9000000000000001
16,8,24.6,87,3.2,2.1
17,7,25.2,83,2.1,1.5
18,6,25.3,83,3.0,2.4
19,5,26.1,78,4.0,2.9
20,4,26.4,76,4.3,2.5
21,3,26.6,77,5.1,3.5999999999999996
22,2,26.9,76,4.5,2.7
23,1,26.6,79,4.9,3.8000000000000003
24,0,24.9,85,1.5,1.3
25,1,24.2,88,1.0,1.0
26,2,24.0,89,1.4,1.4
27,3,24.3,90,2.1,0.8
28,4,24.1,91,2.4,1.7
29,5,24.1,91,1.7,1.2999999999999998
30,6,23.8,91,1.6,0.9000000000000001
31,7,24.0,91,2.1,1.4000000000000001
32,8,24.0,91,2.3,0.9999999999999998
33,9,24.4,90,2.8,1.6999999999999997
34,10,25.5,87,4.3,2.5
35,11,27.6,77,5.4,3.1000000000000005
36,12,28.5,73,7.0,3.9
37,13,30.0,65,7.9,5.2
38,14,29.4,60,8.6,4.5
39,15,30.5,58,8.6,4.699999999999999
40,16,30.9,55,10.1,6.199999999999999
41,17,30.8,51,10.1,5.5
42,18,30.3,54,8.9,5.300000000000001
43,19,30.2,58,7.8,5.1
44,20,28.6,67,6.4,3.5000000000000004
45,21,27.4,75,6.2,4.4
46,22,26.9,79,4.0,2.8
47,23,26.5,81,3.0,2.3
48,0,25.6,86,1.7,1.2
49,1,25.3,88,1.2,1.0999999999999999
50,2,25.8,88,1.4,0.7999999999999999
51,3,26.3,86,2.0,1.6
52,4,26.0,86,2.6,2.2
53,5,26.4,80,4.3,2.9
54,6,25.4,85,4.6,3.8
55,7,24.6,87,2.3,1.5999999999999999
56,8,24.8,86,2.7,1.5000000000000002
57,9,24.4,86,2.8,1.2999999999999998
58,10,26.1,79,4.3,2.4
59,11,27.8,70,6.6,3.6999999999999997
60,12,28.3,69,7.7,3.9000000000000004
61,13,29.5,59,8.4,4.800000000000001
62,14,29.9,54,9.1,6.0
63,15,31.0,55,8.7,5.6
64,16,30.3,60,7.3,3.9
65,17,30.0,61,7.2,4.300000000000001
66,18,29.9,58,6.9,4.300000000000001
67,19,29.7,61,5.5,2.9
68,20,28.6,66,6.0,3.9
69,21,27.2,73,5.7,4.2
70,22,26.7,77,4.9,3.6000000000000005
71,23,26.1,81,3.1,2.0
72,0,26.7,79,3.6,2.0
73,1,27.2,78,5.7,3.4000000000000004
74,2,27.0,78,6.5,4.2
75,3,26.8,78,5.2,3.1
76,4,26.8,78,4.4,2.6000000000000005
77,5,25.2,85,3.9,3.0
78,6,24.7,87,2.7,1.6
79,7,24.5,88,2.7,1.2000000000000002
80,8,24.1,87,3.5,2.3
81,9,24.1,87,2.9,1.5
82,10,25.7,81,5.1,2.6999999999999997
83,11,27.4,72,5.9,3.1000000000000005
84,12,28.0,68,6.4,3.4000000000000004
85,13,28.3,65,7.8,5.199999999999999
86,14,30.3,58,6.8,3.6999999999999997
87,15,29.3,62,7.4,4.1000000000000005
88,16,29.8,60,8.1,4.6
89,17,30.0,61,8.2,4.499999999999999
90,18,29.9,61,7.6,4.6
91,19,29.2,63,6.8,3.9
92,20,28.1,68,6.3,3.5
93,21,27.0,74,6.4,4.800000000000001
94,22,26.8,77,4.3,3.0
95,23,26.4,79,3.8,2.4
96,0,26.2,81,3.8,2.5999999999999996
97,1,26.1,82,3.7,2.5
98,2,26.3,82,3.1,1.8
99,3,26.4,80,3.8,2.5999999999999996
100,4,26.8,78,4.4,2.9000000000000004
101,5,26.7,77,4.7,3.0
102,6,26.6,79,5.0,3.7
103,7,25.2,85,3.3,2.9
104,8,24.9,87,2.6,1.2000000000000002
105,9,24.4,87,3.4,1.7
106,10,25.6,82,4.5,2.4
107,11,28.1,75,5.9,3.7
108,12,29.5,66,6.6,3.4999999999999996
109,13,29.3,59,9.9,5.5
110,14,31.2,52,10.3,6.6000000000000005
111,15,30.8,52,9.3,5.700000000000001
112,16,30.3,56,9.5,4.9
113,17,30.2,58,9.5,5.5
114,18,29.9,60,9.6,5.699999999999999
115,19,29.2,63,8.2,5.199999999999999
116,20,28.1,70,7.6,4.5
117,21,27.2,76,6.3,4.1
118,22,27.2,77,5.0,2.9
119,23,26.8,79,4.1,2.3
