,i,j,rmse,r2
0,30.0,30.0,1056.5579255508599,-17.218790738916706
1,30.0,60.0,1001.5457990916103,-12.74504344801646
2,30.0,90.0,972.7970406044468,-11.738107530182933
3,30.0,120.0,961.358384400532,-11.141029955338453
4,30.0,150.0,911.135962639228,-8.554997855547034
5,30.0,180.0,908.0566789162381,-9.08439851309206
6,30.0,210.0,857.3754883311595,-8.12361031360056
7,30.0,240.0,850.8787499884713,-7.9990613019591
8,30.0,270.0,780.9026655216878,-6.402346327256955
9,30.0,300.0,788.2852265073213,-6.696907932577222
10,30.0,330.0,735.6125154920467,-6.481319438812766
11,30.0,360.0,711.7158510249068,-4.841457847207043
12,30.0,390.0,699.902612833778,-5.465654470946605
13,30.0,420.0,664.7744251923004,-4.729842319881783
14,30.0,450.0,622.2426628955016,-4.072811695719109
15,30.0,480.0,620.2605319054751,-3.5789466353370267
16,30.0,510.0,593.9761782355793,-3.75886160018361
17,30.0,540.0,562.8555775874905,-3.00995158488938
18,30.0,570.0,534.9209307656029,-2.6571727212779885
19,30.0,600.0,500.40199083270323,-2.408610628449104
20,60.0,30.0,1033.1266633363098,-16.911447089627263
21,60.0,60.0,1009.3262784487127,-12.46281334707872
22,60.0,90.0,972.4732028375635,-10.640181523809149
23,60.0,120.0,953.02163975276,-10.79536349874293
24,60.0,150.0,906.7152880161103,-9.415932536314072
25,60.0,180.0,895.64423323946,-9.22113746398435
26,60.0,210.0,852.3494382734942,-8.329575404427981
27,60.0,240.0,851.3025318219218,-7.397766783657555
28,60.0,270.0,801.4861165291849,-7.05745227934418
29,60.0,300.0,790.3975451950769,-7.0571725613985
30,60.0,330.0,735.4131313859255,-5.504076416255062
31,60.0,360.0,702.5181897057623,-5.032117284938782
32,60.0,390.0,688.285673185157,-4.976189185382122
33,60.0,420.0,681.9513714605503,-5.998639366780382
34,60.0,450.0,623.5366173874102,-4.4080499728241
35,60.0,480.0,626.0308659095039,-3.8560067913020175
36,60.0,510.0,615.1579230559554,-3.701226832875492
37,60.0,540.0,566.546814764414,-3.5638518997009685
38,60.0,570.0,574.292654873344,-3.4575238831058073
39,60.0,600.0,549.887242228006,-2.9978891416109894
40,90.0,30.0,1015.2973153894374,-16.009491247445514
41,90.0,60.0,998.6554495444699,-12.60105932324443
42,90.0,90.0,977.172352941398,-12.228813409241788
43,90.0,120.0,952.8933658775857,-11.46702239594339
44,90.0,150.0,920.6946148295478,-9.871551028552942
45,90.0,180.0,913.2053671961819,-9.345243705716944
46,90.0,210.0,889.0151307333498,-8.934534119611971
47,90.0,240.0,823.510750802459,-8.015193021155634
48,90.0,270.0,801.1014677361932,-7.408329496475249
49,90.0,300.0,770.1791547150724,-6.935074067219898
50,90.0,330.0,744.9113173065967,-6.3580264245933975
51,90.0,360.0,715.4457213509747,-6.256775174534658
52,90.0,390.0,694.717409780597,-5.083409005072684
53,90.0,420.0,654.336085986821,-4.990586819324656
54,90.0,450.0,647.7186171735868,-4.141433437709826
55,90.0,480.0,622.7861782047278,-3.8502913701693804
56,90.0,510.0,580.8502406289375,-3.629344996590029
57,90.0,540.0,558.233342739292,-3.0807054784768315
58,90.0,570.0,551.4518932780293,-3.1360294573805008
59,90.0,600.0,528.5013252772615,-2.7072148241299674
60,120.0,30.0,1063.3450900755236,-17.95379487160104
61,120.0,60.0,1010.3237966157335,-13.579144947751924
62,120.0,90.0,997.8275885210561,-12.369286649839156
63,120.0,120.0,943.9396079983446,-10.02569175855623
64,120.0,150.0,921.887853701625,-9.030991966201988
65,120.0,180.0,897.4400064781124,-8.584283263294166
66,120.0,210.0,872.2089355611724,-7.889024025508233
67,120.0,240.0,844.3780770307303,-8.183181421546752
68,120.0,270.0,804.0601464116338,-7.292360782081158
69,120.0,300.0,769.285206051489,-7.327522593877512
70,120.0,330.0,746.8970902812929,-5.5907311906302235
71,120.0,360.0,731.3072269430969,-6.056763403781556
72,120.0,390.0,702.5099674021063,-5.229830686846534
73,120.0,420.0,665.7777227259878,-4.759582905958772
74,120.0,450.0,639.3353779760907,-4.1619366972626235
75,120.0,480.0,641.8590229559146,-4.373246163071822
76,120.0,510.0,586.7492940393498,-3.5938538923775605
77,120.0,540.0,577.0373276203408,-3.6310200100350505
78,120.0,570.0,553.6012299745478,-3.275688250109448
79,120.0,600.0,551.9608160429294,-3.3201846596155136
80,150.0,30.0,1047.095892839577,-16.582142373555968
81,150.0,60.0,1037.8781527772217,-14.469181329954843
82,150.0,90.0,976.125193999183,-11.755669542797094
83,150.0,120.0,954.7634515911469,-10.346012104207357
84,150.0,150.0,922.6276967794453,-8.67820783325238
85,150.0,180.0,921.8883289574737,-9.79808133797811
86,150.0,210.0,884.5884797321504,-8.079912404664427
87,150.0,240.0,845.6827237732151,-9.174838332216858
88,150.0,270.0,802.5881127473936,-7.42188770997895
89,150.0,300.0,797.2223057375617,-6.876698038435367
90,150.0,330.0,767.2140955307124,-6.20112197744358
91,150.0,360.0,741.2898198488099,-5.667819435761405
92,150.0,390.0,686.0410572161488,-5.024579923428846
93,150.0,420.0,669.5102419462457,-4.570194747789388
94,150.0,450.0,642.0854645267647,-4.324631918341637
95,150.0,480.0,623.4448793212533,-4.754350110718193
96,150.0,510.0,597.4791089248223,-3.762882759102241
97,150.0,540.0,599.2207730025276,-3.5242576277644835
98,150.0,570.0,547.8079122999686,-3.087224810742
99,150.0,600.0,523.590495899013,-2.852495597087215
100,180.0,30.0,1060.8133168551014,-17.905975840628635
101,180.0,60.0,1017.7447186279579,-13.299503993721864
102,180.0,90.0,1005.1281233829302,-11.859129028143892
103,180.0,120.0,944.2897125075309,-9.470437171551328
104,180.0,150.0,933.2752565953286,-10.139229090727948
105,180.0,180.0,888.8553619277646,-8.942199810054843
106,180.0,210.0,877.6196086491449,-8.323532392736945
107,180.0,240.0,854.8335012045507,-8.366387082474898
108,180.0,270.0,808.8263885824146,-6.956224639092316
109,180.0,300.0,787.8558233847418,-7.512025781529774
110,180.0,330.0,760.489065685419,-5.864316935724002
111,180.0,360.0,704.4232620768645,-5.355322849120625
112,180.0,390.0,719.8041891523479,-5.094308237822413
113,180.0,420.0,698.2592925067786,-5.604116152981026
114,180.0,450.0,643.4666653723262,-4.552071378513665
115,180.0,480.0,642.5268238730359,-4.67339513973448
116,180.0,510.0,602.0467959724041,-3.9634273745267006
117,180.0,540.0,595.2727952686337,-4.025081114678349
118,180.0,570.0,574.9065531459108,-3.556981597418893
119,180.0,600.0,541.94972695043,-2.9319713619073697
120,210.0,30.0,1034.4365792655333,-17.56625287162405
121,210.0,60.0,1015.8342022612245,-12.43855980432035
122,210.0,90.0,1010.2900367935438,-12.609551301897358
123,210.0,120.0,968.3035159132629,-10.931551922574545
124,210.0,150.0,936.7537944692863,-9.07678259968166
125,210.0,180.0,928.7686206909026,-9.20894968589169
126,210.0,210.0,859.5088018384283,-8.681503653423027
127,210.0,240.0,844.6048440941864,-7.47923686152247
128,210.0,270.0,806.7896819155553,-8.355324230538526
129,210.0,300.0,736.0783616757675,-5.53221153548002
130,210.0,330.0,774.5816226139156,-6.540497353139909
131,210.0,360.0,714.438789737114,-5.850139197719383
132,210.0,390.0,697.8840747124497,-4.800249998661857
133,210.0,420.0,673.2493156889885,-4.937384735157018
134,210.0,450.0,630.3781013000613,-4.388053086147838
135,210.0,480.0,622.0960301166668,-4.198375483137827
136,210.0,510.0,617.7169887951038,-3.7604027132107105
137,210.0,540.0,598.2222174857134,-3.2468627527182363
138,210.0,570.0,563.3270156782186,-3.187232030137186
139,210.0,600.0,520.4973640017516,-2.561610814297908
140,240.0,30.0,1057.5922669179483,-17.423373319861234
141,240.0,60.0,1017.4653272467677,-13.015934764229169
142,240.0,90.0,980.4745299613187,-12.21440151463745
143,240.0,120.0,938.9599581089024,-10.84929963522234
144,240.0,150.0,919.7942401762875,-9.260298051311766
145,240.0,180.0,888.0573416336262,-10.279992506057797
146,240.0,210.0,853.7981767638663,-8.277385534970804
147,240.0,240.0,855.7067943548309,-7.8364339473073334
148,240.0,270.0,798.4284189679105,-6.690422761577232
149,240.0,300.0,779.7265873835978,-6.497238322650384
150,240.0,330.0,750.4243081002,-6.675533899691795
151,240.0,360.0,745.4074749419785,-6.0412461058804805
152,240.0,390.0,731.2189324829158,-5.995507069508438
153,240.0,420.0,686.6115972164231,-4.41294153184091
