,i,j,rmse,r2
0,30.0,30.0,0.17394121893332362,-0.07356112248231184
1,30.0,60.0,0.1835093564445099,0.011392433097736077
2,30.0,90.0,0.17865175504573647,-0.004968243328417499
3,30.0,120.0,0.18336574803410194,0.007197471434434721
4,30.0,150.0,0.18736628726712895,0.0032911808650279983
5,30.0,180.0,0.17986955583035963,-0.08881939477316836
6,30.0,210.0,0.20171379577895882,-0.2328672384142847
7,30.0,240.0,0.1878477114951087,-0.03953375396068659
8,30.0,270.0,0.2081286814748317,-0.09468622668429427
9,30.0,300.0,0.1904765368521388,-0.039332629270257824
10,30.0,330.0,0.19483461032366217,-0.0909796017761324
11,30.0,360.0,0.18307616616521558,-0.049200911944998316
12,30.0,390.0,0.1839875436626355,0.04975017255584835
13,30.0,420.0,0.18007635079265394,0.010842874696683324
14,30.0,450.0,0.18713769079705928,-0.03665806974477004
15,30.0,480.0,0.19696572619979252,-0.09061367647693008
16,30.0,510.0,0.19573722878324476,-0.0927819373450518
17,30.0,540.0,0.18311200695545912,0.001962835376076666
18,30.0,570.0,0.22354668596333366,-0.3840514561809496
19,30.0,600.0,0.18671145290713725,0.0026941382536977976
20,60.0,30.0,0.18717975723032942,0.016657266949163807
21,60.0,60.0,0.19249005064859,-0.022248854868363255
22,60.0,90.0,0.19932393059137618,-0.12318556187117857
23,60.0,120.0,0.1845921636566696,-0.008392895117552257
24,60.0,150.0,0.19349762787691124,-0.02282754354586447
25,60.0,180.0,0.19383917762419228,-0.01722689983170045
26,60.0,210.0,0.18138027916656704,0.01411657054137272
27,60.0,240.0,0.18524559501567153,-0.059677470891731366
28,60.0,270.0,0.20697072772701405,-0.2324602044347055
29,60.0,300.0,0.1820368151451832,-0.01699445798827348
30,60.0,330.0,0.1914152107634701,-0.020930811314340714
31,60.0,360.0,0.1992203663113004,-0.026439944172420127
32,60.0,390.0,0.18100581764419205,-0.05719235716651472
33,60.0,420.0,0.18180650133446574,-0.0019709586201526186
34,60.0,450.0,0.19637195147047293,-0.11145827008563858
35,60.0,480.0,0.19146594425125366,0.006581992748610266
36,60.0,510.0,0.19649371361004894,0.015516880648968279
37,60.0,540.0,0.18235691717767266,-0.07328386637977702
38,60.0,570.0,0.17997255821997316,-0.018829331636319058
39,60.0,600.0,0.20154285824875284,-0.09133651517588581
40,90.0,30.0,0.18915813267446588,-0.1004156736233095
41,90.0,60.0,0.19381387438109113,-0.05459370042490863
42,90.0,90.0,0.19861332932838527,-0.09740606375988214
43,90.0,120.0,0.1829628712158767,0.033619851109614185
44,90.0,150.0,0.1916842114648268,-0.07317991814020286
45,90.0,180.0,0.18304674564746962,-0.01808867136453496
46,90.0,210.0,0.1835099732404965,0.030561585267451008
47,90.0,240.0,0.18111549055519793,-0.0034742635424112045
48,90.0,270.0,0.17366170700608274,-0.01331173234663141
49,90.0,300.0,0.1923039028607298,0.01409248443646638
50,90.0,330.0,0.18306102894578846,0.025642288201764618
51,90.0,360.0,0.19089196169033462,-0.057063704886030964
52,90.0,390.0,0.18602577898060965,-0.1507083918232317
53,90.0,420.0,0.19043230379426757,0.0031926719007809856
54,90.0,450.0,0.1891515359040239,-0.0529105968095287
55,90.0,480.0,0.19420314998113986,-0.06851593881918205
56,90.0,510.0,0.19751734645352734,-0.12195709906101149
57,90.0,540.0,0.18390320667812293,-0.011709955269867178
58,90.0,570.0,0.19753522236423696,-0.06829770254225664
59,90.0,600.0,0.20349753834580633,-0.25965938130562116
60,120.0,30.0,0.18113537572489138,-0.11138720213242359
61,120.0,60.0,0.1880096192940292,0.002401021925098612
62,120.0,90.0,0.17553193384024385,0.04664163527916698
63,120.0,120.0,0.20817842298038397,-0.25148262275087174
64,120.0,150.0,0.18585633856417536,-0.013105826023834366
65,120.0,180.0,0.2150270967139129,-0.15705486583534878
66,120.0,210.0,0.17276790959072755,-0.0022943911365529424
67,120.0,240.0,0.19326774282942483,-0.07470993772720913
68,120.0,270.0,0.18938228204714652,-0.17149214820705172
69,120.0,300.0,0.18477134923436295,-0.018753670826900493
70,120.0,330.0,0.1938328094589154,-0.11651918647225346
71,120.0,360.0,0.20574016830856623,-0.2750072059093527
72,120.0,390.0,0.18149993374547588,0.02489833203499403
73,120.0,420.0,0.19889061356984858,-0.07691000798157832
74,120.0,450.0,0.203739740688984,-0.17920050659948417
75,120.0,480.0,0.18910284190123708,-0.023102740435502644
76,120.0,510.0,0.23180654508056683,-0.7343180367911681
77,120.0,540.0,0.18826873564783164,-0.07336380737794057
78,120.0,570.0,0.18917391957158436,-0.05360868301425792
79,120.0,600.0,0.1875187855586228,0.011793743108019727
80,150.0,30.0,0.18720804205737318,-0.17477408736638878
81,150.0,60.0,0.18353764658890415,-0.012792316908701862
82,150.0,90.0,0.19711246232878027,-0.09210362152255946
83,150.0,120.0,0.20896175925542007,-0.2848325021166689
84,150.0,150.0,0.21972762422579306,-0.418220139004549
85,150.0,180.0,0.18071456056622773,0.02444218223654049
86,150.0,210.0,0.18567556394091642,-0.035508735827780136
87,150.0,240.0,0.20757907122655386,-0.2465111822357573
88,150.0,270.0,0.18144656069289525,-0.11531612875815589
89,150.0,300.0,0.186860837073805,-0.020113738019154725
90,150.0,330.0,0.18449257942046132,0.024091260644689916
91,150.0,360.0,0.18677337429254431,-0.13427577653832357
92,150.0,390.0,0.19334653385814896,-0.06302863915759938
93,150.0,420.0,0.17757975570641557,-0.01313908225049687
94,150.0,450.0,0.21019257736983296,-0.44924379357130073
95,150.0,480.0,0.21352997298983348,-0.22916538119053698
96,150.0,510.0,0.18788937291050786,-0.036961203698272715
97,150.0,540.0,0.19237925367296999,-0.10747522328609493
98,150.0,570.0,0.18834974772109703,-0.0271731972654099
99,150.0,600.0,0.19088728943982253,-0.11409562006463636
100,180.0,30.0,0.18402913077377495,-0.07635660227497998
101,180.0,60.0,0.21185532867665002,-0.2550401192932379
102,180.0,90.0,0.20376898525752954,-0.04454400081748
103,180.0,120.0,0.19724736020249584,-0.047247155303648425
104,180.0,150.0,0.1892262887382535,-0.05124547693125048
105,180.0,180.0,0.20137722275589312,-0.12625554490008772
106,180.0,210.0,0.1810400975491842,-0.03214712177436341
107,180.0,240.0,0.19272023409699526,-0.024995163086323435
108,180.0,270.0,0.18109894045792768,-0.09766210229081551
