,i,j,rmse,r2
0,30.0,30.0,1050.7448087264545,-16.463468704687685
1,30.0,60.0,1027.8899198974273,-14.773626535966796
2,30.0,90.0,994.4067236790963,-11.892333973345316
3,30.0,120.0,948.1080954613514,-10.873050253170424
4,30.0,150.0,899.6652749631942,-8.869604221514923
5,30.0,180.0,895.7447543764246,-8.6881142337599
6,30.0,210.0,868.3400079714238,-8.423252965305846
7,30.0,240.0,824.7331879933151,-7.088700805622518
8,30.0,270.0,806.2611038550231,-7.900364769385502
9,30.0,300.0,787.1570056875056,-7.077953588969784
10,30.0,330.0,743.0734713988373,-5.841562543094827
11,30.0,360.0,714.9578568047384,-5.471308397399084
12,30.0,390.0,685.6992021833772,-5.150682124444165
13,30.0,420.0,667.0014598657883,-5.099895535194904
14,30.0,450.0,641.331206053306,-4.321688238111699
15,30.0,480.0,600.4967263949941,-3.6678304391592373
16,30.0,510.0,563.4252974841623,-3.244412919785322
17,30.0,540.0,560.8904916745701,-3.341685763088076
18,30.0,570.0,535.6687307500681,-3.1616255096270867
19,30.0,600.0,508.74228424251993,-2.687377852412333
20,60.0,30.0,1057.2380995597412,-17.269278486756292
21,60.0,60.0,1016.9539763243397,-13.628985863935252
22,60.0,90.0,988.3266708457471,-12.825755725903898
23,60.0,120.0,963.9668988324902,-9.748310515803718
24,60.0,150.0,922.5443385060365,-9.267032610535248
25,60.0,180.0,892.136684066058,-8.65946406350055
26,60.0,210.0,854.9095612454199,-7.547250701215588
27,60.0,240.0,829.9047283248227,-7.741365418440569
28,60.0,270.0,814.2487818218971,-7.264094932837692
29,60.0,300.0,768.4203552321113,-5.88821953112165
30,60.0,330.0,763.688850354991,-6.25747920981407
31,60.0,360.0,716.2013265363428,-5.2175574648465
32,60.0,390.0,703.6098339589335,-5.279661966706808
33,60.0,420.0,676.4058791403835,-5.297907969103662
34,60.0,450.0,637.0961027834833,-3.611518366987991
35,60.0,480.0,634.1677799696358,-4.097262604343756
36,60.0,510.0,588.240915644853,-3.9973006494123564
37,60.0,540.0,562.1145549618653,-3.6252909629260115
38,60.0,570.0,573.7953952924565,-3.1546816505964945
39,60.0,600.0,537.7098524604617,-3.1446446621795783
40,90.0,30.0,1063.3673860797574,-17.236371112168545
41,90.0,60.0,995.1538491593419,-13.016336983651929
42,90.0,90.0,1002.1220430749947,-13.1097373656533
43,90.0,120.0,946.3267365607276,-10.04250660223535
44,90.0,150.0,937.793644092215,-9.549421112622962
45,90.0,180.0,900.0459019270289,-9.742291262156296
46,90.0,210.0,843.2140968701932,-7.939505228506913
47,90.0,240.0,831.0813686005506,-7.6615091534948325
48,90.0,270.0,811.5966608041005,-7.5762738791483
49,90.0,300.0,763.5352641704557,-5.7807180057830205
50,90.0,330.0,766.3570370133433,-6.252243509354727
51,90.0,360.0,747.2386962206077,-6.374321118646283
52,90.0,390.0,699.4192422635768,-6.223219202599937
53,90.0,420.0,666.6414520244739,-4.671493380347904
54,90.0,450.0,643.2995600092104,-4.845899723546708
55,90.0,480.0,639.9909709838561,-4.581987347284831
56,90.0,510.0,613.771545820168,-4.005946868118387
57,90.0,540.0,601.531835428616,-3.499433184405908
58,90.0,570.0,558.3030990530336,-2.924013728342834
59,90.0,600.0,547.180684257756,-2.924494329703856
60,120.0,30.0,1049.9478241020304,-16.852201067169432
61,120.0,60.0,1007.5508435528421,-14.842252132558665
62,120.0,90.0,972.8782923121338,-11.480408749690895
63,120.0,120.0,951.8145608252391,-9.81588575511152
64,120.0,150.0,939.5821752379308,-9.568919319340823
65,120.0,180.0,881.8700521452424,-8.45003936574627
66,120.0,210.0,866.2823431543156,-8.795996265607167
67,120.0,240.0,847.3326922918853,-7.956622758499711
68,120.0,270.0,804.0255338998131,-6.68532549519316
69,120.0,300.0,775.4291036578787,-6.1856026008374245
70,120.0,330.0,773.4297914673245,-6.325462769537923
71,120.0,360.0,710.3802896564036,-5.957339535528149
72,120.0,390.0,714.6144481069703,-5.564309937874065
73,120.0,420.0,688.3338801148867,-4.976563615856531
74,120.0,450.0,661.5524730984905,-5.104165718847429
75,120.0,480.0,641.1884530170178,-4.342918652143148
76,120.0,510.0,616.1482854162733,-3.6982629502549123
77,120.0,540.0,573.0369530469727,-3.349655174131907
78,120.0,570.0,541.1749379869283,-3.2566313947983
79,120.0,600.0,527.4571828604563,-3.130472867372827
80,150.0,30.0,1039.8454908604965,-17.921345350140726
81,150.0,60.0,1029.0442045014538,-14.363997108307677
82,150.0,90.0,983.3822902485724,-10.490895803248188
83,150.0,120.0,962.3304129107519,-10.95811522883259
84,150.0,150.0,930.5793392847718,-10.547546660051175
85,150.0,180.0,885.1118450422016,-9.10003009000682
86,150.0,210.0,872.7865872385468,-8.611848750234538
87,150.0,240.0,832.2759387504241,-8.572141210454872
88,150.0,270.0,817.1140612211484,-7.206671210097898
89,150.0,300.0,802.0294237051119,-7.3176210159452975
90,150.0,330.0,753.1406313919891,-7.0424383401289
91,150.0,360.0,727.2129918842729,-5.762374823105748
92,150.0,390.0,701.8735193083186,-5.445006618239412
93,150.0,420.0,675.2432206597528,-4.573351448632403
94,150.0,450.0,643.1936745853789,-4.752548063008004
95,150.0,480.0,620.7637858909552,-4.132506924310662
96,150.0,510.0,593.1294875044695,-3.6675724132067224
97,150.0,540.0,568.5120138268064,-3.626951825766041
98,150.0,570.0,565.6510513409236,-3.1737129992565447
99,150.0,600.0,534.0474626737226,-3.0039597003590908
100,180.0,30.0,1067.0817963415996,-17.39940796860448
101,180.0,60.0,1013.7067350797658,-14.241656326078564
102,180.0,90.0,1000.291001626665,-11.343146835218658
103,180.0,120.0,942.6003193721925,-10.154185244703879
104,180.0,150.0,923.7297977694408,-10.188910224027065
105,180.0,180.0,887.2318463034461,-8.443656615843512
106,180.0,210.0,878.0734978858336,-8.179889073412863
107,180.0,240.0,830.3100996390314,-7.848554255882248
108,180.0,270.0,796.026670150388,-7.3105321219269435
109,180.0,300.0,788.8280886149032,-7.413700604509215
110,180.0,330.0,726.3473084267358,-6.175286711947141
111,180.0,360.0,714.1063163839934,-6.41684693481565
112,180.0,390.0,703.3034526586896,-5.0878863270132175
113,180.0,420.0,669.8705851481716,-5.007030517632712
114,180.0,450.0,672.6173078021853,-4.782400118904951
115,180.0,480.0,630.5026457736785,-4.245324175741526
116,180.0,510.0,592.727063305447,-3.613545240693279
117,180.0,540.0,573.5806073534716,-2.9893325069905727
118,180.0,570.0,581.4169614211276,-3.4510593910295047
119,180.0,600.0,563.4951163933287,-3.2216303039863003
120,210.0,30.0,1033.4125564084331,-16.858727855911802
121,210.0,60.0,1020.592859590577,-13.88071625219414
122,210.0,90.0,998.4213614277027,-11.7638022575407
123,210.0,120.0,945.9647974979466,-10.198805035968096
124,210.0,150.0,927.5248897104756,-9.967683566077685
125,210.0,180.0,897.644980363525,-8.944908409248557
126,210.0,210.0,854.355019108456,-7.18118546299646
127,210.0,240.0,847.5912190032499,-7.7235469612745025
128,210.0,270.0,795.7785516152618,-7.499647002901643
129,210.0,300.0,773.1411585590705,-7.1775713004922155
130,210.0,330.0,741.1461441302115,-6.932922075184688
131,210.0,360.0,720.935355928929,-5.614448988343703
132,210.0,390.0,706.2574899736112,-5.544756009725087
133,210.0,420.0,671.7739081144504,-4.709645702564031
134,210.0,450.0,622.7311028396807,-3.9112295138922013
135,210.0,480.0,619.9187093096007,-3.7898311565763425
136,210.0,510.0,582.7530763518325,-3.898606066439412
137,210.0,540.0,570.3343685321871,-3.3789925535698746
138,210.0,570.0,555.735719073099,-3.1251407473469155
139,210.0,600.0,524.2168362412261,-2.9212316254163913
140,240.0,30.0,1056.7506077583973,-17.354435666543026
141,240.0,60.0,1015.3775005418319,-14.538100380321922
142,240.0,90.0,980.0254224855147,-12.938900369317674
143,240.0,120.0,960.0806928780518,-10.900569627908773
144,240.0,150.0,946.1906376776615,-9.925260781152671
145,240.0,180.0,906.3325096850318,-9.348810490986892
146,240.0,210.0,877.2679961253759,-8.357199781633698
147,240.0,240.0,861.11411544136,-8.012958149097893
148,240.0,270.0,805.0470066203198,-7.518130658985746
149,240.0,300.0,786.3562711540131,-7.207712036982072
150,240.0,330.0,751.2489215762494,-5.6644117834159
151,240.0,360.0,736.7857842158926,-6.111938360732163
152,240.0,390.0,695.8829668102219,-5.220780854054724
153,240.0,420.0,680.1078363793445,-5.173165317871792
154,240.0,450.0,668.2708257488334,-4.633463027305604
155,240.0,480.0,632.9601983027538,-4.195614902327021
156,240.0,510.0,614.5117819960735,-3.8329325983756926
157,240.0,540.0,573.0948768103555,-3.1171688194087306
158,240.0,570.0,554.6402364510951,-3.0484539096053624
159,240.0,600.0,533.3080898273894,-2.858983834206951
160,270.0,30.0,1069.3694185705833,-18.276771343160092
161,270.0,60.0,1034.8934986064905,-13.283934204677584
162,270.0,90.0,990.0770924938026,-11.725863486375157
163,270.0,120.0,963.8770172806451,-12.26922937196439
164,270.0,150.0,931.7436821178537,-9.805930095691485
165,270.0,180.0,890.6566247147175,-8.298183965927848
166,270.0,210.0,858.5922151300206,-7.841050974991217
167,270.0,240.0,846.8527029493634,-8.365134524800292
168,270.0,270.0,798.0816815692232,-7.152149266889809
169,270.0,300.0,775.9657718797498,-6.265355802638229
170,270.0,330.0,741.8165031213119,-6.777325841955787
171,270.0,360.0,725.9269610240806,-5.827708867975404
172,270.0,390.0,693.2074901539945,-5.283543820969164
173,270.0,420.0,684.5451310497533,-5.313947295604589
174,270.0,450.0,651.4445215745145,-4.408428942710639
175,270.0,480.0,627.1128071993969,-4.323068909184486
176,270.0,510.0,592.8292588459432,-3.4722592878971446
177,270.0,540.0,594.4183473025046,-3.6601608579036853
178,270.0,570.0,556.5059188489649,-3.299896011123013
179,270.0,600.0,542.058408500061,-3.0458496746106825
180,300.0,30.0,1061.794311347668,-18.6213091683254
181,300.0,60.0,1031.9197025161695,-14.516811289213647
182,300.0,90.0,993.4668183013878,-12.889711382820746
183,300.0,120.0,976.242379971246,-10.656461038573719
184,300.0,150.0,913.8069736778325,-9.698829614608632
185,300.0,180.0,898.9141725973675,-9.323137518079342
186,300.0,210.0,841.3068512707857,-8.07509636394759
187,300.0,240.0,840.5751488209862,-8.51063561786934
188,300.0,270.0,798.7814717581452,-7.291760891359579
189,300.0,300.0,773.6970139868957,-6.783793993474989
190,300.0,330.0,757.009406256598,-6.349525066850569
191,300.0,360.0,749.7270370735325,-6.97480871088178
192,300.0,390.0,714.4233166611415,-5.480334576576006
193,300.0,420.0,688.5773100984021,-4.72764186242087
194,300.0,450.0,652.1990272980441,-5.1868219976203624
195,300.0,480.0,647.8155765239043,-4.4934765101752205
196,300.0,510.0,602.6311782892859,-3.6037212218599226
197,300.0,540.0,569.8114800487247,-3.0384676119922247
198,300.0,570.0,566.945383591449,-3.338534608756464
199,300.0,600.0,531.4291835747595,-3.0186484731601446
200,330.0,30.0,1052.4643346792868,-16.741082914000614
201,330.0,60.0,1008.2842475363931,-13.581753476854306
202,330.0,90.0,975.3790623565208,-11.808639515271583
203,330.0,120.0,945.2506261180962,-11.168364812199545
204,330.0,150.0,938.4056960573528,-10.70854568426009
205,330.0,180.0,900.9743704629982,-9.980149145781487
206,330.0,210.0,845.7620293727938,-7.815700296323705
207,330.0,240.0,834.4297424571305,-8.333839837431752
208,330.0,270.0,811.4244108866665,-6.855812984875476
209,330.0,300.0,767.5974090044123,-6.633030056172516
210,330.0,330.0,760.5365889737076,-6.262286634514306
211,330.0,360.0,738.8566333031085,-6.123858444536961
212,330.0,390.0,692.1299423021339,-5.111742284225759
