,i,j,rmse,r2
0,30.0,30.0,83.89212891494468,-7.539709261065143
1,30.0,60.0,51.13509053383473,-2.0461238943731015
2,30.0,90.0,34.93726485346728,-0.42369899964942337
3,30.0,120.0,29.300889833653972,-0.010800876562542694
4,30.0,150.0,29.661400287063575,-0.04294097176312195
5,30.0,180.0,27.995480635948585,-0.0027554437354584405
6,30.0,210.0,27.235288693783133,-0.013511724817111048
7,30.0,240.0,28.383236021524105,-0.0013704671103740296
8,30.0,270.0,28.022258289730548,0.001539361481293744
9,30.0,300.0,29.594922598606605,-0.000494829100972316
10,30.0,330.0,28.629450932676587,-0.0029619218311949247
11,30.0,360.0,28.694900756746136,-0.007583608052935675
12,30.0,390.0,28.122452109274686,-0.016622471081491064
13,30.0,420.0,29.28439782333977,-0.0016575333270822945
14,30.0,450.0,28.836861198239518,-0.02984885716726371
15,30.0,480.0,28.064465193559133,-4.188656619086295e-05
16,30.0,510.0,27.384090775648307,-0.01494026077445132
17,30.0,540.0,27.5085726464125,-0.005852013277271695
18,30.0,570.0,27.56058107070064,-0.012273031672835888
19,30.0,600.0,28.390606948866296,-0.005809321808394552
20,60.0,30.0,79.0483188517137,-7.573580376556086
21,60.0,60.0,53.85425565581906,-2.66533057955095
22,60.0,90.0,32.65615017590108,-0.50894726197157
23,60.0,120.0,29.324909625747505,-0.061103146705034694
24,60.0,150.0,28.77410247666935,-0.01164678934660568
25,60.0,180.0,29.02424507987809,-0.0018385682233401646
26,60.0,210.0,27.541032941567604,-0.009503026025985406
27,60.0,240.0,29.362325090539315,-0.02330733448425626
28,60.0,270.0,27.789703726204543,-0.012136425322213373
29,60.0,300.0,28.80578349744332,-0.004416098116237777
30,60.0,330.0,28.30286450827502,0.00044159793267639635
31,60.0,360.0,28.31230532260345,-0.0025595832488187753
32,60.0,390.0,28.259526578647613,-0.005296182703930619
33,60.0,420.0,28.201279418836684,-0.00041954752087991487
34,60.0,450.0,25.691631769154775,-0.0009526324403514863
35,60.0,480.0,27.93031519411062,-0.008995116200572362
36,60.0,510.0,29.398826445012237,0.000821242709170944
37,60.0,540.0,28.533888326041005,-0.007219952600739932
38,60.0,570.0,28.516673820791716,-0.013191020872606485
39,60.0,600.0,27.470175524110754,-0.0014956706610904646
40,90.0,30.0,83.80222064142968,-7.4526226989562385
41,90.0,60.0,50.77287945598551,-2.2942785775977805
42,90.0,90.0,37.096276950917364,-0.6875678714806766
43,90.0,120.0,28.35988020973754,-0.0511410233580869
44,90.0,150.0,26.995949134816335,-0.0014078594980981851
45,90.0,180.0,30.116557780654183,-0.006720218004807821
46,90.0,210.0,27.94477502403656,-0.011309727942738546
47,90.0,240.0,27.993338181152996,-0.0004691595168095919
48,90.0,270.0,28.63816489445949,-0.014174786073186896
49,90.0,300.0,27.749457565541302,-0.004105879373696775
50,90.0,330.0,28.95396608753146,-0.022778241765313956
51,90.0,360.0,28.376917929866273,-0.003365247498224644
52,90.0,390.0,27.368099932416282,-7.572291355484317e-05
53,90.0,420.0,29.510279093829862,-0.00011602972196622652
54,90.0,450.0,26.963728869524818,-0.004804612846523115
55,90.0,480.0,27.073399395089144,-0.009970455757614793
56,90.0,510.0,28.404788804579802,-0.02079626856983241
57,90.0,540.0,29.237664201854983,-0.001808477021375765
58,90.0,570.0,27.985345637526684,-0.021022549553986192
59,90.0,600.0,26.82774421273578,-0.027628992894982884
60,120.0,30.0,82.3871235229809,-7.60828676477222
61,120.0,60.0,52.84228994490688,-2.3338869337054144
62,120.0,90.0,35.0052236843035,-0.5691068316524424
63,120.0,120.0,31.3372916987691,-0.19995847146274803
64,120.0,150.0,30.151769324814644,-0.036139610418682855
65,120.0,180.0,29.66642725485442,-0.018162472076986846
66,120.0,210.0,28.493374735296015,-0.000385493362567102
67,120.0,240.0,28.920010031216624,-0.0003131998093754973
68,120.0,270.0,27.600224087231773,-0.001904307588358245
69,120.0,300.0,28.832202812089843,-0.00015254828127742037
70,120.0,330.0,28.589465179055534,-0.008236256848975998
71,120.0,360.0,28.845108542796975,-1.9053486967512967e-05
72,120.0,390.0,28.37800437160915,-0.00026542214241565
73,120.0,420.0,29.435268841214118,0.0005205226004647567
74,120.0,450.0,27.427208365353614,-0.0012800503486150028
75,120.0,480.0,28.38258269302839,6.625263128368086e-05
76,120.0,510.0,28.740896290306424,-0.007497600272785121
77,120.0,540.0,28.02748984838922,-0.0028567096178109264
78,120.0,570.0,28.567237931808403,-0.02867586909286124
79,120.0,600.0,27.628072335006596,-0.007408717931395525
80,150.0,30.0,85.36257200299855,-8.986853114981518
81,150.0,60.0,54.621050407947536,-2.7035553211422925
82,150.0,90.0,36.91424889078117,-0.5684281339124944
83,150.0,120.0,31.7095606738837,-0.11847480216869366
84,150.0,150.0,30.04128373526808,-0.040401070604907385
85,150.0,180.0,29.474567042564093,-0.00042251464774212266
86,150.0,210.0,28.278697976276913,-0.00013056782043530113
87,150.0,240.0,28.833483864875706,-0.003967099279801545
88,150.0,270.0,28.26792575457921,-0.00236400890782984
89,150.0,300.0,28.8302201617956,4.311128521616858e-06
90,150.0,330.0,29.06273720775094,-0.00027468854905632334
91,150.0,360.0,27.97281613992833,-0.002420929910773806
92,150.0,390.0,27.926751302249386,-0.006185458642363972
93,150.0,420.0,27.693442757625622,-0.006856986760903627
94,150.0,450.0,28.444778770834183,-0.0001574801127979253
95,150.0,480.0,27.897083867435093,-0.005859447027162679
96,150.0,510.0,27.997875899504884,-0.015467463671666959
97,150.0,540.0,29.83973517454259,0.004935917654840027
98,150.0,570.0,27.740467364979942,-0.0027606580821499804
99,150.0,600.0,27.525744310470273,-0.005261980062079008
100,180.0,30.0,81.8476210245359,-8.362569630612208
101,180.0,60.0,54.71997506337225,-2.6376089816122374
102,180.0,90.0,34.561527827970714,-0.5635911306069528
103,180.0,120.0,27.952686963006677,-0.03748656468436273
104,180.0,150.0,26.030423025704824,-0.008579925726739601
105,180.0,180.0,28.57454773913433,-0.006452118883257807
106,180.0,210.0,29.13456891038937,-0.012916081795782963
107,180.0,240.0,28.612293277133396,-0.0006201280646647156
108,180.0,270.0,29.949064208775706,-0.026013970447464452
109,180.0,300.0,27.17906041651486,0.007736356957231183
110,180.0,330.0,29.770918287315883,-0.008063593448793371
111,180.0,360.0,27.695532734744724,-0.0017858795704752684
112,180.0,390.0,26.629048571300515,-0.0024346689973826496
113,180.0,420.0,29.123580170474234,0.0024412626867218457
114,180.0,450.0,26.43220610362598,-9.361843736366282e-05
115,180.0,480.0,27.818380171809718,-0.011191762561197693
116,180.0,510.0,29.784453006567443,-0.012228241774741466
117,180.0,540.0,29.34435837667947,0.0010247862429808574
118,180.0,570.0,29.50832218581455,-0.00359267994000545
119,180.0,600.0,27.466906457937224,-0.0016700085339584891
120,210.0,30.0,83.41780345398237,-7.418737006448385
121,210.0,60.0,50.866696686300465,-2.431101807929025
122,210.0,90.0,31.139463829162505,-0.42095804658781244
123,210.0,120.0,30.06824385423008,-0.06248568938388521
124,210.0,150.0,26.078072625171217,-0.0018058101034765794
125,210.0,180.0,29.64992115184715,-0.03158342201044295
126,210.0,210.0,28.30090164629847,-0.00012675255592475843
