,i,j,rmse,r2
0,30.0,30.0,0.18758333436400196,-0.049467818606722336
1,30.0,60.0,0.19540824921060118,-0.0287367071186857
2,30.0,90.0,0.18318450286905355,0.0018381814113710426
3,30.0,120.0,0.19096522584391876,0.01865646092440898
4,30.0,150.0,0.18026821241253319,0.017812292712728217
5,30.0,180.0,0.20957679582207214,-0.2761915033003981
6,30.0,210.0,0.1918210150279006,0.024057234629467517
7,30.0,240.0,0.18811304524140277,0.004487786542179406
8,30.0,270.0,0.19632543192604635,-0.052693398228661925
9,30.0,300.0,0.19297088713361535,-0.053089740390369844
10,30.0,330.0,0.189389370899156,-0.00919844269161385
11,30.0,360.0,0.20174905142807906,-0.2522150879267393
12,30.0,390.0,0.18437119177681,0.07259468549843884
13,30.0,420.0,0.19843652506905368,-0.13747499785095263
14,30.0,450.0,0.17594694818862736,0.008248550821204903
15,30.0,480.0,0.17491769435377208,-0.02159945218718895
16,30.0,510.0,0.17979466428867527,0.03142879656204922
17,30.0,540.0,0.19356059978511334,-0.05438864436091939
18,30.0,570.0,0.19812995005106426,-0.024256225250384178
19,30.0,600.0,0.20180641233595303,-0.17959635712426003
20,60.0,30.0,0.18580862685466934,-0.06348855986584034
21,60.0,60.0,0.1899038519315966,0.012481372658090573
22,60.0,90.0,0.1854674858492758,0.008235055886287257
23,60.0,120.0,0.1830709178972741,-0.02407545018348034
24,60.0,150.0,0.18348567636843924,-0.031276061885372464
25,60.0,180.0,0.19163456618451316,-0.031243017044341848
26,60.0,210.0,0.1829202570810705,0.0037262713253142232
27,60.0,240.0,0.20768016326155614,-0.2175691247718743
28,60.0,270.0,0.17218667223638132,0.00858211969539946
29,60.0,300.0,0.18830521666905412,-0.06047969114986951
30,60.0,330.0,0.18576845938229608,-0.01092395893492304
31,60.0,360.0,0.16786154578980927,0.041052679592350594
32,60.0,390.0,0.17703189153409296,-0.04324605157309791
33,60.0,420.0,0.2226546481711781,-0.32376161348921006
34,60.0,450.0,0.18885198981630005,-0.03298765837886175
35,60.0,480.0,0.18845654413975382,-0.07512470503722168
36,60.0,510.0,0.21032755829070657,-0.2665363410778996
37,60.0,540.0,0.18306375366986227,-0.003186027620238674
38,60.0,570.0,0.18272848495281127,-0.014075855569803508
39,60.0,600.0,0.20725477982990378,-0.1413145028300571
40,90.0,30.0,0.1938491108373888,-0.027198511029271177
41,90.0,60.0,0.18682216128315257,-0.031682138424744766
42,90.0,90.0,0.19445915118752372,-0.04266601715215912
43,90.0,120.0,0.18862764814661287,-0.031249888536441173
44,90.0,150.0,0.1802886105308179,0.014535141057976486
45,90.0,180.0,0.1922858078706208,-0.1489278534771632
46,90.0,210.0,0.18850217980884834,-0.11065637270722872
47,90.0,240.0,0.1963262543222048,-0.03236435479879951
48,90.0,270.0,0.19049777425594563,-0.13236347314976382
49,90.0,300.0,0.18951589753967996,-0.019956597431656453
50,90.0,330.0,0.19937039254422947,-0.12730433476928615
51,90.0,360.0,0.18776766121361327,0.03222967987770964
52,90.0,390.0,0.18873738683292382,-0.05813170175740323
53,90.0,420.0,0.18422951026509604,0.025846813946229008
54,90.0,450.0,0.1910406122339674,-0.008825149531643373
55,90.0,480.0,0.17592032259257182,-0.021520573245096708
56,90.0,510.0,0.20066787039483,-0.18304123400952932
57,90.0,540.0,0.20407613206632502,-0.211104903789751
58,90.0,570.0,0.1913016308473608,-0.17058086840587317
59,90.0,600.0,0.17863212404842566,0.02028959583834289
60,120.0,30.0,0.18252740273641666,-0.05438398041908443
61,120.0,60.0,0.19147845910630332,-0.03713938032176656
62,120.0,90.0,0.20739455157962985,-0.20045087511966742
63,120.0,120.0,0.18228040350336563,-0.0240441767440438
64,120.0,150.0,0.19580949250687438,-0.08951301689828339
65,120.0,180.0,0.19467023250124915,-0.12490322424204736
66,120.0,210.0,0.19204521113067796,0.0065222795609928275
67,120.0,240.0,0.21797899663071701,-0.4181057853041996
68,120.0,270.0,0.18676692315679005,-0.006725016763657443
69,120.0,300.0,0.1841439145606571,-0.08199396404070991
70,120.0,330.0,0.17873236659264616,-0.009219159391022691
71,120.0,360.0,0.18495807155998265,0.01659808983184019
72,120.0,390.0,0.22104429092447983,-0.5038291580899414
73,120.0,420.0,0.20012237316933076,-0.16926420375880769
74,120.0,450.0,0.19359260339669807,-0.08436908923148367
75,120.0,480.0,0.18208711367825536,0.0056970774642346456
76,120.0,510.0,0.2034534623779173,-0.1781973578354621
77,120.0,540.0,0.20000391346440977,-0.14258703772500048
78,120.0,570.0,0.19415581390598283,-0.041744183766886156
79,120.0,600.0,0.20505285358724928,-0.05072626973945904
80,150.0,30.0,0.18863397022753348,-0.01841988576543163
81,150.0,60.0,0.18212974910977897,0.014488121736624171
82,150.0,90.0,0.1825200671671951,0.04870790863140739
83,150.0,120.0,0.19237200381967115,-0.10834741446460128
84,150.0,150.0,0.16624421959862237,0.04978402153762573
85,150.0,180.0,0.1860154916035676,-0.003857497987212355
86,150.0,210.0,0.18133142260461524,0.004408069658407232
87,150.0,240.0,0.2147880728188792,-0.4442959238099904
88,150.0,270.0,0.1825253105616011,0.045602151342427066
89,150.0,300.0,0.2039974695137081,-0.15548411709992438
90,150.0,330.0,0.1929308048551516,0.004865021303100958
91,150.0,360.0,0.16891958902635204,-0.07728851412195703
92,150.0,390.0,0.18543030462274884,-0.07029794407858225
93,150.0,420.0,0.20105865585121174,-0.17014175825800582
94,150.0,450.0,0.1933334767855813,-0.12856166581900275
95,150.0,480.0,0.2253791740797818,-0.6040789305402743
96,150.0,510.0,0.22774918205594072,-0.6455680433306579
97,150.0,540.0,0.17841550552007238,0.017381600314454237
98,150.0,570.0,0.19531425362317933,-0.03801375062827539
99,150.0,600.0,0.18671303352762306,-0.05829241916552186
100,180.0,30.0,0.20305553490813363,-0.07959354740068902
101,180.0,60.0,0.18231712309613202,-0.05436055121763217
102,180.0,90.0,0.22046813220629077,-0.3359233682945002
103,180.0,120.0,0.19416454570187983,-0.04004510539857242
104,180.0,150.0,0.20744530683096898,-0.14363171416679998
105,180.0,180.0,0.19780418900022304,-0.14978293610915983
106,180.0,210.0,0.1890892433624487,-0.030145577963347714
107,180.0,240.0,0.20652665315003857,-0.07586850974185655
108,180.0,270.0,0.20152531959967201,-0.1658515598585235
109,180.0,300.0,0.18415953157159062,-0.1025085041552598
110,180.0,330.0,0.18502515698815722,-0.04332715828345779
111,180.0,360.0,0.2176836865603706,-0.32218736988141883
112,180.0,390.0,0.19685761612303,-0.1579880347453193
113,180.0,420.0,0.19319788330806387,-0.08989417830778823
114,180.0,450.0,0.19414527400510662,-0.1459143057605916
115,180.0,480.0,0.18942078368299647,-0.05082114239786306
116,180.0,510.0,0.19807153119784943,-0.05782918325714359
117,180.0,540.0,0.20872990812201914,-0.25693789411460943
118,180.0,570.0,0.26042040472473493,-0.8215266101736669
119,180.0,600.0,0.2065192868573697,-0.2446822033845244
120,210.0,30.0,0.1825298356362544,0.004990276220653067
121,210.0,60.0,0.1946473988168444,-0.09499920214386903
122,210.0,90.0,0.19773776703051543,-0.12829352885904277
123,210.0,120.0,0.18622491175922326,-0.06510134953804969
124,210.0,150.0,0.199507818122261,-0.17042451712227447
125,210.0,180.0,0.17870324755655156,0.023760861690426238
126,210.0,210.0,0.18976778769048197,-0.07424582423166548
127,210.0,240.0,0.19491656570093463,-0.09202500338852149
128,210.0,270.0,0.18861820926293751,-0.01731583223833444
129,210.0,300.0,0.18539049257497703,-0.08938996260931553
130,210.0,330.0,0.1940275419488124,0.010718479341017773
131,210.0,360.0,0.21014465630259377,-0.23038722030891035
132,210.0,390.0,0.19237333951693053,-0.13898665980901304
133,210.0,420.0,0.1949350702308317,-0.13751103165856904
134,210.0,450.0,0.22325940846040987,-0.3377157081261837
135,210.0,480.0,0.18621038807665685,0.015106408858440057
136,210.0,510.0,0.2031539047303362,-0.10602294085936381
137,210.0,540.0,0.1922915052244779,-0.014029706904929329
138,210.0,570.0,0.19150162695512826,-0.011539270536572666
139,210.0,600.0,0.1973039141840499,-0.1517162401850085
140,240.0,30.0,0.18387219926187087,-0.020975344744945
141,240.0,60.0,0.19049618175540184,-0.041969850077937076
142,240.0,90.0,0.18737089425930234,-0.02024053740383369
143,240.0,120.0,0.17198029387991484,0.019423613205386325
144,240.0,150.0,0.20664301955509728,-0.27431578203402274
145,240.0,180.0,0.19863427520509042,-0.2468251207972445
146,240.0,210.0,0.18994795671930312,-0.03260185733498844
147,240.0,240.0,0.18274006291412787,-0.02429245833582705
148,240.0,270.0,0.18545899776578223,-0.007997525601179944
149,240.0,300.0,0.18695149140745304,0.022393903663854742
150,240.0,330.0,0.19957794115365637,-0.31409841529207805
151,240.0,360.0,0.1895742575445304,-0.058679501110182164
152,240.0,390.0,0.19379369943922886,-0.12948697546962817
153,240.0,420.0,0.18252948671695804,-0.020195580818738845
154,240.0,450.0,0.1822584805077307,-0.09248862685725201
155,240.0,480.0,0.19491277368240423,-0.11351719742495159
156,240.0,510.0,0.1953774495514217,-0.16143986253680676
157,240.0,540.0,0.20584963740494722,-0.36364087979674165
158,240.0,570.0,0.2072776793097314,-0.19339916015677505
159,240.0,600.0,0.2311070633017531,-0.5648620359845682
160,270.0,30.0,0.19180881568705638,-0.05914317297532645
161,270.0,60.0,0.18767309895856063,-0.0403100232665492
162,270.0,90.0,0.19338774314100146,-0.0319584046916801
163,270.0,120.0,0.21482437327045148,-0.3505563927194879
164,270.0,150.0,0.18162912604198436,-0.019002099686458385
165,270.0,180.0,0.20097906459614703,-0.21231166822570202
166,270.0,210.0,0.18823576713160456,0.011649522815511348
167,270.0,240.0,0.21026844584769752,-0.22702872180669598
168,270.0,270.0,0.17699559690191619,0.041630855691516144
169,270.0,300.0,0.18888256566456474,-0.03216630954481192
170,270.0,330.0,0.1770202022879671,0.02054071860675455
171,270.0,360.0,0.19857951212620878,-0.1096011441846505
172,270.0,390.0,0.1978121357351765,-0.22259531879870198
173,270.0,420.0,0.1804481101253637,-0.015505118880052349
174,270.0,450.0,0.1972295354317505,-0.13062929928689093
175,270.0,480.0,0.18100146344263707,-0.032267917172463134
176,270.0,510.0,0.22612332083958633,-0.4725773631718895
177,270.0,540.0,0.17158301422985223,0.001019795416090763
178,270.0,570.0,0.18517411081546928,0.018651562375138875
179,270.0,600.0,0.21917195778800902,-0.48493224698565984
180,300.0,30.0,0.18671235419665647,0.010243155789588121
181,300.0,60.0,0.18149141346577705,0.00905740413047229
182,300.0,90.0,0.20676362623484829,-0.2590583233830559
183,300.0,120.0,0.20012950780390598,-0.19528751556766855
184,300.0,150.0,0.18529712916665003,-0.03823303801624722
185,300.0,180.0,0.2093609988391734,-0.1802172171516918
186,300.0,210.0,0.17475099409861986,0.01816075983289156
187,300.0,240.0,0.25445743462296805,-0.8333642973568605
188,300.0,270.0,0.19062642971091123,-0.024690789821528725
189,300.0,300.0,0.17787189477330093,-0.034081913357406846
190,300.0,330.0,0.2022143291702678,-0.1677246355215829
191,300.0,360.0,0.18694078022598856,-0.01975438059284862
192,300.0,390.0,0.26045134923291763,-0.8371398490065352
193,300.0,420.0,0.17512837789967467,-0.043300770165966895
194,300.0,450.0,0.2180368369542555,-0.23472146947074157
195,300.0,480.0,0.22553314177774314,-0.6782255608776477
196,300.0,510.0,0.19967782039276363,-0.13799198590321948
197,300.0,540.0,0.20450472485609864,-0.18025359636992078
198,300.0,570.0,0.193861767021705,-0.0814778258268336
199,300.0,600.0,0.19604669852745765,-0.1010810080008282
200,330.0,30.0,0.19132983446639204,-0.0014234358837337258
201,330.0,60.0,0.24626524258961405,-0.9137591007658337
202,330.0,90.0,0.24358137915114458,-0.8459555922741238
203,330.0,120.0,0.19025083458281267,-0.02713131925688761
204,330.0,150.0,0.1828925773062342,0.008930880611737302
205,330.0,180.0,0.1949897869567953,-0.12350438909832717
206,330.0,210.0,0.1793855555320891,0.0021606416632007353
207,330.0,240.0,0.18914218002659575,-0.20090387989745762
208,330.0,270.0,0.19171291266445567,-0.08316869913567837
209,330.0,300.0,0.17973472132445156,0.01844386174916457
210,330.0,330.0,0.18676211608132168,0.014901620866876963
211,330.0,360.0,0.19768396121704734,-0.11205758280840672
212,330.0,390.0,0.17630101725521805,0.04924603645405212
213,330.0,420.0,0.18708226813856804,-0.07043250800150158
214,330.0,450.0,0.1856947928632721,0.0291432678800565
215,330.0,480.0,0.23675763564299707,-0.5379365440156301
216,330.0,510.0,0.200198771649883,-0.1955985908124782
217,330.0,540.0,0.1857659659438537,-0.0511196051894105
218,330.0,570.0,0.20223074093232757,-0.1744453906416481
219,330.0,600.0,0.18127834908279494,-0.00872122262758901
220,360.0,30.0,0.18144501349547323,0.010799996935250467
221,360.0,60.0,0.17560329895716034,0.01430023751916143
222,360.0,90.0,0.19520664049632871,-0.04679930853509662
223,360.0,120.0,0.1862463442639348,-0.01966273644312988
224,360.0,150.0,0.1916016366571385,-0.1558435992340037
225,360.0,180.0,0.19649821158223388,-0.11697043182753841
226,360.0,210.0,0.19269161592685147,-0.0967221568719625
227,360.0,240.0,0.19311030599193293,-0.09518413571914675
228,360.0,270.0,0.19663854312105145,-0.15404677386482413
229,360.0,300.0,0.19141292893714448,-0.06425811873865794
230,360.0,330.0,0.19357825924164657,-0.09245145744720262
231,360.0,360.0,0.1980109845360467,-0.095046245990001
232,360.0,390.0,0.198568275807501,-0.13322082610725428
233,360.0,420.0,0.1959807408790669,-0.07412530397431616
234,360.0,450.0,0.19953765839185045,-0.11000582140324133
235,360.0,480.0,0.20137637950896453,-0.04696996467668879
236,360.0,510.0,0.21578979775400123,-0.42415982751400816
237,360.0,540.0,0.1838953712211433,0.0010753712823349248
238,360.0,570.0,0.18772146574791843,0.039688769868485574
239,360.0,600.0,0.1796934239045474,-0.038163695596966196
240,390.0,30.0,0.1893578721064071,-0.014264913005398006
241,390.0,60.0,0.19105561693468137,-0.05392086504945004
242,390.0,90.0,0.1806215055387247,-0.0373972761261836
243,390.0,120.0,0.20841683123390534,-0.19316875814833234
244,390.0,150.0,0.18321208638549805,-0.028348675311313576
245,390.0,180.0,0.18894523128805726,-0.10699658761262087
246,390.0,210.0,0.18280734358840986,-0.041068507093551476
247,390.0,240.0,0.19216782781992015,-0.028024460574174404
248,390.0,270.0,0.19184499060071938,-0.06699186500382437
249,390.0,300.0,0.20500486460024264,-0.18764345786633707
250,390.0,330.0,0.20740253042573958,-0.3602698896609695
251,390.0,360.0,0.2012781894732223,-0.2847559871470571
252,390.0,390.0,0.1751405312926592,0.055141088461500454
253,390.0,420.0,0.18883040876806026,-0.05569077456104554
254,390.0,450.0,0.19375034600333446,-0.08234472060351505
255,390.0,480.0,0.1899001865469507,-0.1296664479343519
256,390.0,510.0,0.18633860957218099,-0.0658606979648011
257,390.0,540.0,0.1798349690888195,-0.05782663184841219
258,390.0,570.0,0.1875119035531878,0.003998167354551052
259,390.0,600.0,0.18870669585814454,-0.07875164613441532
260,420.0,30.0,0.17894430733447048,0.018223498598584076
261,420.0,60.0,0.1946128397391852,-0.012466329732628845
262,420.0,90.0,0.1990122890647542,-0.21119818768405252
263,420.0,120.0,0.2106105432471172,-0.3319510501622336
264,420.0,150.0,0.18550104191811242,-0.12179045176884973
265,420.0,180.0,0.20571056067368837,-0.23722908341880777
266,420.0,210.0,0.1911687439579803,-0.008924198505620984
267,420.0,240.0,0.18037213247007536,-0.04324559871124922
268,420.0,270.0,0.18194353589195295,0.024368575520833602
269,420.0,300.0,0.2188439965215827,-0.26421648547266696
270,420.0,330.0,0.21581025725645386,-0.40414467444601265
271,420.0,360.0,0.18808097238594237,-0.17515568666690973
272,420.0,390.0,0.1802434102115413,0.026912176939740795
273,420.0,420.0,0.21977743274926645,-0.5445462281275384
274,420.0,450.0,0.17983158739011454,0.0452255611187139
275,420.0,480.0,0.18636134815660446,0.02887893667053454
276,420.0,510.0,0.2126950083667481,-0.2312477027579467
277,420.0,540.0,0.18526392550256013,-0.04343872140310845
278,420.0,570.0,0.18970659864859457,-0.029316255885422526
279,420.0,600.0,0.19214063399119316,-0.2214570996212939
280,450.0,30.0,0.1815682857080571,-0.02304158811922541
281,450.0,60.0,0.17105501262232797,0.0009532842846143863
282,450.0,90.0,0.1813047826429403,0.034390438923697975
283,450.0,120.0,0.2042708223449223,-0.13180014102233906
284,450.0,150.0,0.18200318501495452,0.010553370065984224
285,450.0,180.0,0.21985326737714855,-0.49845900460423165
286,450.0,210.0,0.19603085435093454,-0.003257277283254423
287,450.0,240.0,0.1931858470525178,-0.144630670552661
288,450.0,270.0,0.19249551399662299,-0.053703601964548486
289,450.0,300.0,0.23255225070112415,-0.707355990821986
290,450.0,330.0,0.2226672306346213,-0.37258764860667926
291,450.0,360.0,0.19148611898172252,-0.05867587243396044
292,450.0,390.0,0.20471987585792084,-0.13335965189847632
293,450.0,420.0,0.17796335135745858,-0.12328113863933687
294,450.0,450.0,0.18853969685629637,-0.041271026060133664
295,450.0,480.0,0.20080191160210492,-0.17146385543339093
296,450.0,510.0,0.18901713530465325,-0.046309539987782866
297,450.0,540.0,0.18789026814217047,-0.0769138568677179
298,450.0,570.0,0.18556583203401714,-0.10340622361690466
299,450.0,600.0,0.1965758448202815,-0.11448787639133973
300,480.0,30.0,0.18299994553056018,-0.06293631292252955
301,480.0,60.0,0.18602326099870875,-0.05420262191400993
302,480.0,90.0,0.1882223433280386,-0.014495489375019543
303,480.0,120.0,0.18466202661405773,-0.19684065924612937
304,480.0,150.0,0.19162514244298287,-0.08554913078459081
305,480.0,180.0,0.19466112616679976,-0.09456613009556247
306,480.0,210.0,0.18912301881035057,-0.07488592126202875
307,480.0,240.0,0.1835025023351512,0.02119508399872494
308,480.0,270.0,0.20969078087045778,-0.15348206118917407
309,480.0,300.0,0.1927622183702882,-0.2626452911378001
310,480.0,330.0,0.1802263416041986,0.011566987276905527
311,480.0,360.0,0.18854086197249345,-0.07882646341117905
312,480.0,390.0,0.1925343848014886,-0.06549283553604557
313,480.0,420.0,0.19377399435365128,-0.07863053067765624
314,480.0,450.0,0.19538015758947763,-0.07928412791020323
315,480.0,480.0,0.19350126038964122,-0.18887879892731596
316,480.0,510.0,0.20334068899532484,-0.2158440565517965
317,480.0,540.0,0.20296015231173892,-0.09593218051253416
318,480.0,570.0,0.18511286077070138,-0.042178263072434996
319,480.0,600.0,0.18470481204507594,-0.012086432097240696
320,510.0,30.0,0.17800118030563175,-0.00902826994929451
321,510.0,60.0,0.2092060734001009,-0.2765335934983826
322,510.0,90.0,0.1873836143022275,-0.023886700677534067
323,510.0,120.0,0.1949397227751788,-0.04794247374916227
324,510.0,150.0,0.19051039204030287,-0.04839817277911407
325,510.0,180.0,0.18321399928124796,-0.09574549584693814
326,510.0,210.0,0.21826566339234255,-0.35802175711097806
327,510.0,240.0,0.1981363295647587,-0.048063527744095946
328,510.0,270.0,0.1865841100837696,-0.0299451689283341
329,510.0,300.0,0.18478587792209844,-0.10290143396226537
330,510.0,330.0,0.19168668373785225,-0.14679799356877332
331,510.0,360.0,0.18242759260410188,-0.03401728297922091
332,510.0,390.0,0.18855870516166684,-0.04273695206354611
333,510.0,420.0,0.19830706735389855,-0.12218615926883225
334,510.0,450.0,0.20869851007633175,-0.11488100210776553
335,510.0,480.0,0.18480158983171965,-0.040732583722081994
336,510.0,510.0,0.21512308640338088,-0.36976897450266377
337,510.0,540.0,0.18903374274181103,-0.0717928337251239
338,510.0,570.0,0.19088924141359434,-0.18257461653402896
339,510.0,600.0,0.18263156145884374,0.015446239934003736
340,540.0,30.0,0.2045108840522553,-0.18484496670978956
341,540.0,60.0,0.18216384819019285,0.011059810284903326
