,i,j,rmse,r2
0,30.0,30.0,78.4465299688005,-8.022041069229001
1,30.0,60.0,46.0223237592125,-2.1052345601248263
2,30.0,90.0,29.82660609478115,-0.3042624828672631
3,30.0,120.0,26.212106262926163,-0.007305404996460929
4,30.0,150.0,26.342152317394838,-0.01732528264660238
5,30.0,180.0,26.609344618506892,-0.03806770661219172
6,30.0,210.0,26.683775344801735,-0.04388312181453902
7,30.0,240.0,26.636329881882514,-0.04017423986227442
8,30.0,270.0,26.698761995763522,-0.04505602220196936
9,30.0,300.0,26.673090262609694,-0.04304727729123692
10,30.0,330.0,26.711211637617627,-0.046030869396256335
11,30.0,360.0,26.587934935211962,-0.036397935316415
12,30.0,390.0,26.69945751899085,-0.04511047193301354
13,30.0,420.0,26.7299244876733,-0.047497000963152125
14,30.0,450.0,26.682773244375596,-0.04380471791065532
15,30.0,480.0,26.75347696206108,-0.049343771275719206
16,30.0,510.0,26.750264952637316,-0.04909181899628545
17,30.0,540.0,26.73061574295801,-0.047551179732021165
18,30.0,570.0,26.74293252004775,-0.04851677117621067
19,30.0,600.0,26.764199658387756,-0.05018508617896189
20,60.0,30.0,77.95003340864152,-7.908199526053599
21,60.0,60.0,47.35681254577372,-2.2879276436773237
22,60.0,90.0,30.832282073312854,-0.3936979638550422
23,60.0,120.0,26.260817065122385,-0.011052699846727077
24,60.0,150.0,26.278134895447614,-0.012386627297733765
25,60.0,180.0,26.56945956042826,-0.03495809520706872
26,60.0,210.0,26.673503417920912,-0.04307959029702424
27,60.0,240.0,26.69751507554642,-0.04495840935739426
28,60.0,270.0,26.699645132932243,-0.04512515972085329
29,60.0,300.0,26.699216881954946,-0.04509163326165444
30,60.0,330.0,26.726442914691734,-0.047224145740407675
31,60.0,360.0,26.665418640855716,-0.04244736829157425
32,60.0,390.0,26.738527171414262,-0.04817135644114301
33,60.0,420.0,26.750340255713557,-0.04909772547628233
34,60.0,450.0,26.744967454967092,-0.04867634564078416
35,60.0,480.0,26.723297578571724,-0.04697767237917039
36,60.0,510.0,26.753541684806137,-0.04934884848431076
37,60.0,540.0,26.735480222910752,-0.047932484482530624
38,60.0,570.0,26.75119152911801,-0.04916449720283622
39,60.0,600.0,26.76211425593628,-0.050021436732379465
40,90.0,30.0,78.52404076864738,-8.039878725065858
41,90.0,60.0,47.2277202183907,-2.270026619546181
42,90.0,90.0,30.597683345294598,-0.3725697274100932
43,90.0,120.0,26.24430451563455,-0.009781619144730413
44,90.0,150.0,26.28686963438667,-0.013059765068465401
45,90.0,180.0,26.56196045957372,-0.03437395386762909
46,90.0,210.0,26.675177026606203,-0.04321048887460899
47,90.0,240.0,26.696359019465106,-0.04486791371648047
48,90.0,270.0,26.69872259266691,-0.04505293753362216
49,90.0,300.0,26.699124986954143,-0.045084439153181055
50,90.0,330.0,26.70116970405667,-0.04524451809608809
51,90.0,360.0,26.700074815728282,-0.04515879881321627
52,90.0,390.0,26.700438950488167,-0.04518730669164239
53,90.0,420.0,26.700703079682288,-0.04520798544130589
