,Unnamed: 0,i,j,rmse,r2
0,0,30.0,30.0,81.39365284891059,-7.276596581341134
1,1,30.0,60.0,48.12716258194703,-1.893684806275
2,2,30.0,90.0,32.96952343532639,-0.35798836002206125
3,3,30.0,120.0,28.566500816971132,-0.01949429500481825
4,4,30.0,150.0,28.315058068017308,-0.0016260740446158994
5,5,30.0,180.0,28.430262187431612,-0.00979319087659847
6,6,30.0,210.0,28.47314877514227,-0.01284200186561546
7,7,30.0,240.0,28.27618948375388,0.0011219384219062214
8,8,30.0,270.0,28.437763746047608,-0.010326145664527608
9,9,30.0,300.0,28.34416674712422,-0.003686532370792861
10,10,30.0,330.0,28.44606698135765,-0.010916220222109141
11,11,30.0,360.0,28.371488213770355,-0.005622408965035852
12,12,30.0,390.0,28.4203573573852,-0.009089708959968412
13,13,30.0,420.0,28.41180276994989,-0.008482324129464258
14,14,30.0,450.0,28.40580005535241,-0.00805623416075063
15,15,30.0,480.0,28.41309500786836,-0.008574062675323901
16,16,30.0,510.0,28.412709217788905,-0.008546674231643125
17,17,30.0,540.0,28.402077303920606,-0.007792027775296973
18,18,30.0,570.0,28.40758273497268,-0.008182764495415551
19,19,30.0,600.0,28.407253986775732,-0.008159430137732127
20,20,60.0,30.0,82.03044467032987,-7.406608833203117
21,21,60.0,60.0,49.61039374393278,-2.0747942204844803
22,22,60.0,90.0,33.707539763582766,-0.4194654273187279
23,23,60.0,120.0,28.697873692598783,-0.028892846729327012
24,24,60.0,150.0,28.306615616061716,-0.0010288710062289486
25,25,60.0,180.0,28.41539798828774,-0.008737566190145206
26,26,60.0,210.0,28.467832270486426,-0.01246380158027005
27,27,60.0,240.0,28.479806089466035,-0.013315682938880745
28,28,60.0,270.0,28.469684674828702,-0.012595568083869637
29,29,60.0,300.0,28.284486795387462,0.0005356346292020309
30,30,60.0,330.0,28.352493271878647,-0.004276314978382878
31,31,60.0,360.0,28.36517071320594,-0.005174613433657438
32,32,60.0,390.0,28.39368654660561,-0.0071966565881624875
33,33,60.0,420.0,28.407764136095036,-0.008195640358219292
34,34,60.0,450.0,28.3811262390915,-0.006305761239691511
35,35,60.0,480.0,28.402110460310244,-0.0077943807556293265
36,36,60.0,510.0,28.414787266105453,-0.00869420577072244
37,37,60.0,540.0,28.4014497012639,-0.0077474897678015955
38,38,60.0,570.0,28.39846781940456,-0.007535893089267055
39,39,60.0,600.0,28.415431670636263,-0.008739957616823224
40,40,90.0,30.0,81.37546334499541,-7.2728977581815215
41,41,90.0,60.0,49.60589190381083,-2.074236208225559
42,42,90.0,90.0,33.239318925949476,-0.3803046188228143
43,43,90.0,120.0,28.73735507313217,-0.03172581293287835
44,44,90.0,150.0,28.29771048977175,-0.000399132259585544
45,45,90.0,180.0,28.41156310552178,-0.008465310332626208
46,46,90.0,210.0,28.46485159635777,-0.01225179620923278
47,47,90.0,240.0,28.47919145516365,-0.013271945853363665
48,48,90.0,270.0,28.48133462200436,-0.01342445668214598
49,49,90.0,300.0,28.23949311906338,0.0037129104764790366
50,50,90.0,330.0,28.48180372683053,-0.013457840385892705
51,51,90.0,360.0,28.32092603030936,-0.0020412674756769
52,52,90.0,390.0,28.48192654119721,-0.013466580524148952
53,53,90.0,420.0,28.382376560636892,-0.006394428157195709
54,54,90.0,450.0,28.398903606477514,-0.007566815496025114
55,55,90.0,480.0,28.392464582801342,-0.007109966092909038
56,56,90.0,510.0,28.48212818464914,-0.013480930650557664
57,57,90.0,540.0,28.391757387413662,-0.00705979681994262
58,58,90.0,570.0,28.38725950105516,-0.006740740717668281
59,59,90.0,600.0,28.482181894444853,-0.013484752970624792
60,60,120.0,30.0,81.8651806984031,-7.372769931702328
61,61,120.0,60.0,49.27778773817804,-2.0337033647672693
62,62,120.0,90.0,33.37638261786986,-0.39171157412650426
63,63,120.0,120.0,28.83021989494775,-0.038404634996519034
