,i,j,rmse,r2
0,30.0,30.0,105.8099624368356,-10.102549214689029
1,30.0,60.0,79.04557589520338,-5.19618994082767
2,30.0,90.0,60.39618391386168,-2.6173337833447854
3,30.0,120.0,46.07039284483939,-1.1048125161221503
4,30.0,150.0,38.5642169504711,-0.4748186515547117
5,30.0,180.0,34.61290555598657,-0.18808004432028214
6,30.0,210.0,33.05551748215876,-0.08357133436923991
7,30.0,240.0,32.20077276978279,-0.028258184522975016
8,30.0,270.0,31.966654693275444,-0.013360486659363291
9,30.0,300.0,31.865551595665988,-0.0069605761107931485
10,30.0,330.0,31.880861597898445,-0.007928409485028487
11,30.0,360.0,31.568266555584273,0.011740366379451195
12,30.0,390.0,31.50347290546122,0.015792995320931702
13,30.0,420.0,31.30039808625326,0.028440710433485394
14,30.0,450.0,31.438523520599414,0.019847008374217268
15,30.0,480.0,31.575376660775444,0.011295145781667348
16,30.0,510.0,31.364268979118066,0.024471580552519745
17,30.0,540.0,31.339789482599286,0.02599376653685259
18,30.0,570.0,31.520028302609774,0.014758301831535703
19,30.0,600.0,31.614324075556535,0.008854557504836214
20,60.0,30.0,105.30570638922265,-9.996979057187295
21,60.0,60.0,80.22011105003817,-5.38169588308361
22,60.0,90.0,61.06039810004162,-2.697335404695916
23,60.0,120.0,47.551221840908404,-1.2422960299503543
24,60.0,150.0,39.59478485019216,-0.5546962872391819
25,60.0,180.0,35.19018632415195,-0.22804058316421605
26,60.0,210.0,33.231562988936076,-0.09514373400778853
27,60.0,240.0,32.59227362624202,-0.05341355413134341
28,60.0,270.0,32.01496999007578,-0.016426044411356866
29,60.0,300.0,31.680902048850577,0.0046755696122273704
30,60.0,330.0,31.70456639507131,0.003188080479794131
31,60.0,360.0,31.6880101135003,0.00422888889224271
32,60.0,390.0,31.616675182303045,0.008707132218691793
33,60.0,420.0,31.840352138694836,-0.005368585691767125
34,60.0,450.0,32.00009145127022,-0.015481522504485756
35,60.0,480.0,31.71039279795842,0.0028216751216073588
36,60.0,510.0,31.65829976297378,0.006095262923986211
37,60.0,540.0,31.54332573549172,0.01330131803852086
38,60.0,570.0,31.76696317251431,-0.0007393699419411259
39,60.0,600.0,31.476589456740605,0.01747202222027544
40,90.0,30.0,105.38924135515524,-10.014432938087687
41,90.0,60.0,81.22329327964674,-5.5423048260658945
42,90.0,90.0,61.412027329522495,-2.740041795917141
43,90.0,120.0,47.721417290223016,-1.2583760181603774
44,90.0,150.0,40.04114897384578,-0.5899470034019425
45,90.0,180.0,35.34652784238093,-0.23897659915366187
46,90.0,210.0,33.40278487088265,-0.10645801614932959
47,90.0,240.0,32.59320863639806,-0.05347399584898027
48,90.0,270.0,32.23087088638165,-0.030181312195929566
49,90.0,300.0,31.93008745305869,-0.011043409549103433
50,90.0,330.0,32.03829776714114,-0.017907826133844118
51,90.0,360.0,31.914334724097774,-0.010046057813080544
52,90.0,390.0,31.881910021174846,-0.007994703363437772
53,90.0,420.0,31.841228853694304,-0.005423951527551818
54,90.0,450.0,31.994209978656777,-0.01510827495227729
55,90.0,480.0,31.780951231525297,-0.001620882176400995
56,90.0,510.0,32.04199450430095,-0.018142742158825387
57,90.0,540.0,31.8899431337667,-0.008502725314418313
58,90.0,570.0,31.741792050383324,0.0008459092676186275
59,90.0,600.0,31.798422581026816,-0.0027224526442886088
60,120.0,30.0,104.99686050742024,-9.932568660346597
61,120.0,60.0,79.70725994193012,-5.300359719724026
62,120.0,90.0,62.72792897926339,-2.9020379134338055
63,120.0,120.0,48.59992579426395,-1.3422907258481365
64,120.0,150.0,40.13958358318013,-0.597773860928074
65,120.0,180.0,35.34483704795776,-0.23885806956964473
66,120.0,210.0,33.6431246551016,-0.12243767635395075
67,120.0,240.0,32.63326656819395,-0.05606508299278978
68,120.0,270.0,32.0972364473516,-0.021656422757819316
69,120.0,300.0,32.115619931859776,-0.02282705210920577
70,120.0,330.0,31.91763585723559,-0.010255021527119323
71,120.0,360.0,32.29113371039205,-0.0340372224558656
72,120.0,390.0,32.05153058691063,-0.01874885536865034
73,120.0,420.0,32.0594059408091,-0.019249548676327555
74,120.0,450.0,32.598335849520424,-0.053805464321434515
75,120.0,480.0,32.05586672600673,-0.019024519929419892
76,120.0,510.0,31.936561072361407,-0.011453416169410868
77,120.0,540.0,32.22864223328773,-0.030038850181826948
78,120.0,570.0,32.148369062602875,-0.024914122242278625
79,120.0,600.0,31.77737237585347,-0.0013953096493335426
80,150.0,30.0,104.21956039962652,-9.771298475859743
81,150.0,60.0,81.47502874844828,-5.582920818654877
82,150.0,90.0,63.44247933736007,-2.9914425282187014
83,150.0,120.0,49.306807280810574,-1.4109230574950202
84,150.0,150.0,40.35965585149311,-0.6153420373273122
85,150.0,180.0,35.57951129079775,-0.25536363345979574
86,150.0,210.0,33.67453970479359,-0.12453485958725286
87,150.0,240.0,32.70367326078635,-0.06062694684480774
88,150.0,270.0,32.29998793784609,-0.03460436612312412
89,150.0,300.0,32.16235952246181,-0.025806369056732725
90,150.0,330.0,32.21865112728022,-0.02940031058136383
91,150.0,360.0,32.231842526357646,-0.030243425344324226
92,150.0,390.0,32.136608516858026,-0.024164389359999427
93,150.0,420.0,31.991381398137175,-0.014928793191766987
94,150.0,450.0,32.31305225995364,-0.03544146477453758
95,150.0,480.0,32.31750308977444,-0.035726729757036946
96,150.0,510.0,32.3413832262728,-0.03725793924494947
97,150.0,540.0,32.13038266813451,-0.023767603562835804
98,150.0,570.0,32.18810871943921,-0.02744954847857617
99,150.0,600.0,31.965469926925543,-0.013285372565138731
100,180.0,30.0,105.17799653054601,-9.97032198265281
101,180.0,60.0,82.32864717137257,-5.721582674860402
102,180.0,90.0,62.28758617790547,-2.847446492014731
103,180.0,120.0,48.17330652162997,-1.3013490793077196
104,180.0,150.0,40.63286063905628,-0.6372853799923748
105,180.0,180.0,35.804102314802066,-0.2712622930622328
106,180.0,210.0,33.53261882442075,-0.11507616032840828
107,180.0,240.0,32.75278853003509,-0.06381509607680869
108,180.0,270.0,32.32362957677109,-0.036119456124265925
109,180.0,300.0,32.219364873096055,-0.02944592008251279
110,180.0,330.0,32.08664055008401,-0.020981998360676934
111,180.0,360.0,32.055555850886826,-0.019004755195780376
112,180.0,390.0,32.24070827566292,-0.03081026455718372
113,180.0,420.0,32.60909343429433,-0.054501099350138915
114,180.0,450.0,32.1015524799001,-0.02193120023583961
115,180.0,480.0,32.0577103851958,-0.019141739529988655
116,180.0,510.0,32.34857735983632,-0.03771945334029536
117,180.0,540.0,32.2893130214662,-0.03392062035318344
118,180.0,570.0,32.04779853482204,-0.01851162473587542
119,180.0,600.0,31.869098302405323,-0.007184742487003959
120,210.0,30.0,105.91469949406341,-10.124540033592043
121,210.0,60.0,81.35478160790818,-5.563503991647679
122,210.0,90.0,63.8155371782041,-3.038521927068942
123,210.0,120.0,48.95585421708371,-1.3767245504071726
124,210.0,150.0,40.24255167698225,-0.6059817560407745
125,210.0,180.0,35.85752770428604,-0.2750589728121584
126,210.0,210.0,33.690432726832476,-0.1255965801010459
127,210.0,240.0,32.67906014279798,-0.059031070295703314
128,210.0,270.0,32.46740267903445,-0.045357119441626015
129,210.0,300.0,32.23916398382966,-0.030711517734677285
130,210.0,330.0,32.21849076904001,-0.02939006357190177
131,210.0,360.0,32.31399185343378,-0.03550168243434637
132,210.0,390.0,32.68957888156572,-0.05971294204757438
133,210.0,420.0,32.14277504618334,-0.024557470395038417
134,210.0,450.0,32.401954590022804,-0.041146886239667335
135,210.0,480.0,32.478625940318175,-0.046079957914606284
136,210.0,510.0,32.70439364302134,-0.06067367341399277
137,210.0,540.0,32.54398280125949,-0.050294255130608034
138,210.0,570.0,32.029042197172444,-0.0173197826423368
139,210.0,600.0,31.908937037063044,-0.009704427538437255
140,240.0,30.0,104.55840805323508,-9.841453493231509
141,240.0,60.0,81.22704689324864,-5.542909525797473
142,240.0,90.0,63.382609400617156,-2.983912726143633
143,240.0,120.0,49.37468353400779,-1.417565428810907
144,240.0,150.0,40.221494449098515,-0.6043015108891057
145,240.0,180.0,35.87745302739561,-0.27647641692729086
146,240.0,210.0,33.63472132799935,-0.1218770249244816
147,240.0,240.0,32.74263228059416,-0.06315544559779984
148,240.0,270.0,32.13951226839754,-0.02434947754546979
149,240.0,300.0,32.41813529126897,-0.04218698973240542
150,240.0,330.0,32.3623698330362,-0.038604547534636824
151,240.0,360.0,32.07649497447158,-0.020336445429592676
152,240.0,390.0,32.344124964637615,-0.03743381362927112
153,240.0,420.0,32.352985614287675,-0.03800229997322746
154,240.0,450.0,32.36244674837408,-0.038609484423686835
155,240.0,480.0,32.189770720614405,-0.02755565390139636
156,240.0,510.0,32.19768891249752,-0.028061242066142578
157,240.0,540.0,32.70933585339436,-0.06099427061405893
158,240.0,570.0,32.22328141159291,-0.029696211151009733
159,240.0,600.0,32.31865326779005,-0.03580045397453335
160,270.0,30.0,105.47353424056585,-10.032059208385881
161,270.0,60.0,81.84129329104832,-5.642239850582692
162,270.0,90.0,62.76694547571241,-2.906893523952892
163,270.0,120.0,49.317147900534614,-1.4119344007192636
164,270.0,150.0,40.49964110574405,-0.6265669207155788
165,270.0,180.0,36.08268170944658,-0.29112176205400875
166,270.0,210.0,33.72971035124164,-0.1282226390409653
167,270.0,240.0,32.72611806047479,-0.062083280398026686
168,270.0,270.0,32.42380925084782,-0.04255183763546877
169,270.0,300.0,32.31496428161178,-0.03556400628279377
170,270.0,330.0,32.37861574853708,-0.039647568608197625
171,270.0,360.0,32.4189374746479,-0.042238567987420206
172,270.0,390.0,32.20474656995753,-0.028511988660455012
173,270.0,420.0,32.57903306160307,-0.05255783247902812
174,270.0,450.0,32.39043024947689,-0.04040641254418054
175,270.0,480.0,32.301988017713725,-0.03473249963419356
176,270.0,510.0,32.1617143235977,-0.025765212718990904
177,270.0,540.0,32.40155746887179,-0.041121365623929096
178,270.0,570.0,32.23851306768811,-0.03066989754926297
179,270.0,600.0,32.33238069306336,-0.03668055828843375
180,300.0,30.0,106.34976929957739,-10.216121128899951
181,300.0,60.0,81.7362188061535,-5.625195107683433
182,300.0,90.0,63.75692542153134,-3.031106925222087
183,300.0,120.0,49.30781185523099,-1.4110212985468782
184,300.0,150.0,40.11483130803934,-0.5958039180045505
185,300.0,180.0,35.6942157017733,-0.2634709881752957
186,300.0,210.0,33.725859737722864,-0.12796505595925667
187,300.0,240.0,32.89719678172272,-0.07321657615118093
188,300.0,270.0,32.6437902482922,-0.056746319304970205
189,300.0,300.0,32.450434248402374,-0.04426473550683485
190,300.0,330.0,32.24579313622076,-0.03113543978268618
191,300.0,360.0,32.33228350152471,-0.03667432574848761
192,300.0,390.0,32.77632719331451,-0.06534472360324695
193,300.0,420.0,32.4014157002535,-0.04111225507331939
194,300.0,450.0,32.1394054331696,-0.024342667459049228
195,300.0,480.0,32.03798994070827,-0.017888265954206117
196,300.0,510.0,32.536006840202596,-0.04977950070812387
197,300.0,540.0,32.77986300444547,-0.06557458833997698
198,300.0,570.0,32.21235238937106,-0.028997854939646128
199,300.0,600.0,32.487965693425224,-0.04668167877152829
200,330.0,30.0,105.65542782723284,-10.070142526975207
201,330.0,60.0,80.87655516041909,-5.486566517626249
202,330.0,90.0,62.94426069909694,-2.928998477340135
203,330.0,120.0,48.823037816306865,-1.3638460171039206
204,330.0,150.0,40.12599692998683,-0.5966923985208064
205,330.0,180.0,35.87758100446295,-0.2764855234822958
206,330.0,210.0,33.77526912460447,-0.13127248158671634
207,330.0,240.0,32.82910586256502,-0.06877846693421152
208,330.0,270.0,32.379174266527556,-0.03968343591539947
209,330.0,300.0,32.231830932780525,-0.030242684201186254
210,330.0,330.0,31.99953956145071,-0.01544649578699886
211,330.0,360.0,32.10883396652438,-0.02239485521319784
212,330.0,390.0,32.141137214127006,-0.02445306059758745
213,330.0,420.0,32.2377819226174,-0.030623148453338578
214,330.0,450.0,32.14216023521917,-0.02451827632165715
215,330.0,480.0,32.12842210252827,-0.023642668710023962
216,330.0,510.0,32.6409722821085,-0.05656388051108241
217,330.0,540.0,32.267534842515765,-0.032526393428381706
218,330.0,570.0,32.48513195998539,-0.046499095008179836
219,330.0,600.0,32.246692857760266,-0.031192982030396887
220,360.0,30.0,105.71750443344064,-10.083154612954628
221,360.0,60.0,81.95401644215579,-5.660549674545752
222,360.0,90.0,63.22037961536514,-2.9635449253346837
223,360.0,120.0,49.12081103173854,-1.39276828758894
224,360.0,150.0,40.144764705632824,-0.5981863612858445
225,360.0,180.0,35.642509675158664,-0.25981315477127787
226,360.0,210.0,33.6717913939928,-0.12435131170741509
227,360.0,240.0,32.8774721046405,-0.07192999211315221
228,360.0,270.0,32.2369466318498,-0.030569741624658864
229,360.0,300.0,32.400253955524285,-0.0410375987680045
230,360.0,330.0,32.24226672419759,-0.030909921398415197
231,360.0,360.0,31.947370475643513,-0.012138214893038679
232,360.0,390.0,32.39551955281764,-0.04073338318154596
233,360.0,420.0,32.653839907006,-0.057397075512696905
